best_ind,error_type,method,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time
"Individual (fitness=inf, coeffs={'A': {'J': {'n': val=14.961624274193815, 'k': val=1.7065355749547901, '-': False}, 'tau': val=4.512628940816596}, 'B': {'E': {'n': val=1.2626084980942678, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'A': {'n': val=19.712082052630137, 'k': val=2.0}, 'B': {'n': val=0, 'k': val=2.0}, 'F': {'n': val=16.19450164665053, 'k': val=0.1}, 'tau': val=5.0}, 'D': {'F': {'n': val=9.136120445230418, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'E': {'J': {'n': val=1.0655798299892432, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'F': {'A': {'n': val=13.455900376418857, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'G': {'A': {'n': val=6.0639079091989565, 'k': val=2.0}, 'B': {'n': val=20.019322435522568, 'k': val=2.0}, 'F': {'n': val=20.670855271285323, 'k': val=0.1}, 'tau': val=0.1}, 'H': {'F': {'n': val=0, 'k': val=0.3099702512591386, '-': False}, 'tau': val=5.0}, 'I': {'G': {'n': val=0, 'k': val=0.1, '-': False}, 'H': {'n': val=11.530594682057018, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'J': {'I': {'n': val=17.79433756544872, 'k': val=0.1, '-': False}, 'tau': val=5.0}}, ind_size=40)",MABS,RK45,2,251.6768336965065,16.335762204337907,0.5337142535933497,0.503353667393013,147.5227930545807
"Individual (fitness=inf, coeffs={'A': {'J': {'n': val=0, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'B': {'E': {'n': val=0, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'C': {'A': {'n': val=13.339555856506973, 'k': val=2.0}, 'B': {'n': val=0, 'k': val=0.1}, 'F': {'n': val=0, 'k': val=2.0}, 'tau': val=0.1}, 'D': {'F': {'n': val=13.568042549927624, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'E': {'J': {'n': val=29.7016034382574, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'F': {'A': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=4.668473158395683}, 'G': {'A': {'n': val=16.283769901559445, 'k': val=2.0}, 'B': {'n': val=10.715392502290573, 'k': val=2.0}, 'F': {'n': val=15.612060651354486, 'k': val=0.1}, 'tau': val=0.1}, 'H': {'F': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'I': {'G': {'n': val=0.03325792368575575, 'k': val=2.0, '-': False}, 'H': {'n': val=12.11002656990184, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'J': {'I': {'n': val=6.299917768091479, 'k': val=2.0, '-': False}, 'tau': val=5.0}}, ind_size=40)",SQUARED,RK45,1,257.80837970853696,15.608105265948355,0.48722589998584953,0.5156167594170737,149.37756061553955
"Individual (fitness=inf, coeffs={'A': {'J': {'n': val=6.077408819999043, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'B': {'E': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=3.6440269642542815}, 'C': {'A': {'n': val=0, 'k': val=2.0}, 'B': {'n': val=0.5160555103544153, 'k': val=2.0}, 'F': {'n': val=17.01830178874004, 'k': val=2.0}, 'tau': val=0.1}, 'D': {'F': {'n': val=13.795354282114925, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'E': {'J': {'n': val=8.342454818008735, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'F': {'A': {'n': val=29.075400002412287, 'k': val=0.1, '-': False}, 'tau': val=2.3410157971072545}, 'G': {'A': {'n': val=9.376945689809101, 'k': val=2.0}, 'B': {'n': val=0, 'k': val=0.1}, 'F': {'n': val=0, 'k': val=0.1}, 'tau': val=5.0}, 'H': {'F': {'n': val=0, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'I': {'G': {'n': val=13.693829767797919, 'k': val=0.1, '-': False}, 'H': {'n': val=2.6314662345860267, 'k': val=2.0, '-': False}, 'tau': val=1.5732421062256403}, 'J': {'I': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=5.0}}, ind_size=40)",MABS,RK45,1,237.86649803686777,15.991244894491656,0.5114398265512107,0.4757329960737355,151.3490583896637
"Individual (fitness=inf, coeffs={'A': {'J': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'B': {'E': {'n': val=20.070172233005366, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'A': {'n': val=0, 'k': val=2.0}, 'B': {'n': val=12.81597950565045, 'k': val=0.1}, 'F': {'n': val=18.315396481068902, 'k': val=1.0540864735210154}, 'tau': val=0.1}, 'D': {'F': {'n': val=16.511971753169306, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'E': {'J': {'n': val=0, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'F': {'A': {'n': val=13.166232649434686, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'G': {'A': {'n': val=5.610010022611252, 'k': val=2.0}, 'B': {'n': val=0, 'k': val=0.1}, 'F': {'n': val=0.39949868324952, 'k': val=0.1}, 'tau': val=5.0}, 'H': {'F': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'I': {'G': {'n': val=0.9103716766040524, 'k': val=2.0, '-': False}, 'H': {'n': val=16.865215199860128, 'k': val=0.9657077581155997, '-': False}, 'tau': val=5.0}, 'J': {'I': {'n': val=17.066898973815, 'k': val=1.8412364404176857, '-': False}, 'tau': val=0.1}}, ind_size=40)",MSE,RK45,2,270.22898728557544,15.456855292191145,0.47782875104747485,0.540457974571151,152.7865252494812
"Individual (fitness=inf, coeffs={'A': {'J': {'n': val=5.443917012645369, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'B': {'E': {'n': val=24.88144774863942, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'C': {'A': {'n': val=12.22016288095853, 'k': val=1.8409258948847889}, 'B': {'n': val=0, 'k': val=0.36758394675368766}, 'F': {'n': val=30.0, 'k': val=0.1}, 'tau': val=0.1}, 'D': {'F': {'n': val=14.015474755745677, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'E': {'J': {'n': val=4.200684916365766, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'F': {'A': {'n': val=18.96006712661645, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'G': {'A': {'n': val=17.98238174206056, 'k': val=2.0}, 'B': {'n': val=0, 'k': val=2.0}, 'F': {'n': val=0, 'k': val=2.0}, 'tau': val=0.1}, 'H': {'F': {'n': val=0.46701244422005095, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'I': {'G': {'n': val=0, 'k': val=1.368305582743512, '-': False}, 'H': {'n': val=8.64153921621119, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'J': {'I': {'n': val=3.525313475888975, 'k': val=0.1, '-': False}, 'tau': val=5.0}}, ind_size=40)",MABS,RK45,0,253.6966757430281,16.29841819432193,0.5312768712740082,0.5073933514860562,152.97157955169678
"Individual (fitness=inf, coeffs={'A': {'J': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'B': {'E': {'n': val=20.070172233005366, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'A': {'n': val=0, 'k': val=2.0}, 'B': {'n': val=12.81597950565045, 'k': val=0.1}, 'F': {'n': val=18.315396481068902, 'k': val=1.0540864735210154}, 'tau': val=0.1}, 'D': {'F': {'n': val=16.511971753169306, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'E': {'J': {'n': val=0, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'F': {'A': {'n': val=13.166232649434686, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'G': {'A': {'n': val=5.610010022611252, 'k': val=2.0}, 'B': {'n': val=0, 'k': val=0.1}, 'F': {'n': val=0.39949868324952, 'k': val=0.1}, 'tau': val=5.0}, 'H': {'F': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'I': {'G': {'n': val=0.9103716766040524, 'k': val=2.0, '-': False}, 'H': {'n': val=16.865215199860128, 'k': val=0.9657077581155997, '-': False}, 'tau': val=5.0}, 'J': {'I': {'n': val=17.066898973815, 'k': val=1.8412364404176857, '-': False}, 'tau': val=0.1}}, ind_size=40)",SQUARED,RK45,2,270.22898728557544,15.456855292191145,0.47782875104747485,0.540457974571151,155.7241940498352
"Individual (fitness=inf, coeffs={'A': {'J': {'n': val=5.443917012645369, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'B': {'E': {'n': val=24.88144774863942, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'C': {'A': {'n': val=12.22016288095853, 'k': val=1.8409258948847889}, 'B': {'n': val=0, 'k': val=0.36758394675368766}, 'F': {'n': val=30.0, 'k': val=0.1}, 'tau': val=0.1}, 'D': {'F': {'n': val=14.015474755745677, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'E': {'J': {'n': val=4.200684916365766, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'F': {'A': {'n': val=18.96006712661645, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'G': {'A': {'n': val=17.98238174206056, 'k': val=2.0}, 'B': {'n': val=0, 'k': val=2.0}, 'F': {'n': val=0, 'k': val=2.0}, 'tau': val=0.1}, 'H': {'F': {'n': val=0.46701244422005095, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'I': {'G': {'n': val=0, 'k': val=1.368305582743512, '-': False}, 'H': {'n': val=8.64153921621119, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'J': {'I': {'n': val=3.525313475888975, 'k': val=0.1, '-': False}, 'tau': val=5.0}}, ind_size=40)",ABS,RK45,0,253.6966757430281,16.29841819432193,0.5312768712740082,0.5073933514860562,159.46786212921143
"Individual (fitness=inf, coeffs={'A': {'J': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'B': {'E': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'C': {'A': {'n': val=3.3718103620027575, 'k': val=2.0}, 'B': {'n': val=0.17078270263992978, 'k': val=0.1}, 'F': {'n': val=10.06680116637806, 'k': val=0.1}, 'tau': val=4.115065379653756}, 'D': {'F': {'n': val=3.438175681780873, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'E': {'J': {'n': val=0, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'F': {'A': {'n': val=30.0, 'k': val=2.0, '-': False}, 'tau': val=0.627428483393573}, 'G': {'A': {'n': val=25.996595958871133, 'k': val=2.0}, 'B': {'n': val=7.45131526097592, 'k': val=0.1}, 'F': {'n': val=2.3067387560106436, 'k': val=0.1}, 'tau': val=0.1}, 'H': {'F': {'n': val=6.341517355550818, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'I': {'G': {'n': val=10.41327962108976, 'k': val=0.1, '-': False}, 'H': {'n': val=5.555537440817496, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'J': {'I': {'n': val=19.26258730778101, 'k': val=2.0, '-': False}, 'tau': val=0.8797958613855941}}, ind_size=40)",SQUARED,RK45,0,265.86627139066275,15.454602056009847,0.4776894494192477,0.5317325427813254,159.955904006958
"Individual (fitness=inf, coeffs={'A': {'J': {'n': val=14.961624274193815, 'k': val=1.7065355749547901, '-': False}, 'tau': val=4.512628940816596}, 'B': {'E': {'n': val=1.2626084980942678, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'A': {'n': val=19.712082052630137, 'k': val=2.0}, 'B': {'n': val=0, 'k': val=2.0}, 'F': {'n': val=16.19450164665053, 'k': val=0.1}, 'tau': val=5.0}, 'D': {'F': {'n': val=9.136120445230418, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'E': {'J': {'n': val=1.0655798299892432, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'F': {'A': {'n': val=13.455900376418857, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'G': {'A': {'n': val=6.0639079091989565, 'k': val=2.0}, 'B': {'n': val=20.019322435522568, 'k': val=2.0}, 'F': {'n': val=20.670855271285323, 'k': val=0.1}, 'tau': val=0.1}, 'H': {'F': {'n': val=0, 'k': val=0.3099702512591386, '-': False}, 'tau': val=5.0}, 'I': {'G': {'n': val=0, 'k': val=0.1, '-': False}, 'H': {'n': val=11.530594682057018, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'J': {'I': {'n': val=17.79433756544872, 'k': val=0.1, '-': False}, 'tau': val=5.0}}, ind_size=40)",ABS,RK45,2,251.6768336965065,16.335762204337907,0.5337142535933497,0.503353667393013,162.06607151031494
"Individual (fitness=inf, coeffs={'A': {'J': {'n': val=6.077408819999043, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'B': {'E': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=3.6440269642542815}, 'C': {'A': {'n': val=0, 'k': val=2.0}, 'B': {'n': val=0.5160555103544153, 'k': val=2.0}, 'F': {'n': val=17.01830178874004, 'k': val=2.0}, 'tau': val=0.1}, 'D': {'F': {'n': val=13.795354282114925, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'E': {'J': {'n': val=8.342454818008735, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'F': {'A': {'n': val=29.075400002412287, 'k': val=0.1, '-': False}, 'tau': val=2.3410157971072545}, 'G': {'A': {'n': val=9.376945689809101, 'k': val=2.0}, 'B': {'n': val=0, 'k': val=0.1}, 'F': {'n': val=0, 'k': val=0.1}, 'tau': val=5.0}, 'H': {'F': {'n': val=0, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'I': {'G': {'n': val=13.693829767797919, 'k': val=0.1, '-': False}, 'H': {'n': val=2.6314662345860267, 'k': val=2.0, '-': False}, 'tau': val=1.5732421062256403}, 'J': {'I': {'n': val=0, 'k': val=2.0, '-': False}, 'tau': val=5.0}}, ind_size=40)",ABS,RK45,1,237.86649803686777,15.991244894491656,0.5114398265512107,0.4757329960737355,162.35289072990417
