method,error_type,abs_error_mean,abs_error_std,abs_error_max,abs_error_min,squared_error_mean,squared_error_std,squared_error_max,squared_error_min,MSE_error_mean,MSE_error_std,MSE_error_max,MSE_error_min,mean_abs_error_mean,mean_abs_error_std,mean_abs_error_max,mean_abs_error_min,execution_time_mean
DOP853,abs,51.505997994809064,28.514799372451343,91.61795516539092,23.32696708211923,4.4567473420379775,2.501804248316566,7.939146477850512,1.886630229578496,0.10382764078674585,0.1029587429547941,0.2521201871870647,0.0142374944926376,0.20602399197923624,0.11405919748980538,0.3664718206615636,0.0933078683284769,1200.137695707773
DOP853,mabs,30.066932191445947,8.580064570136242,47.6482537321149,21.568383067627064,2.520926927486479,0.8145381817813369,3.8183432082792943,1.780703476709223,0.02792674177109538,0.01802206173869072,0.0583189794248504,0.0126836194878572,0.12026772876578375,0.03432025828054496,0.1905930149284596,0.0862735322705083,1021.7179589933819
DOP853,mse,42.49723839087204,29.80984311513612,101.382381525829,23.425653862289785,3.351366913869595,2.443156791534163,8.241056705772777,1.7777244339838487,0.06766574593892685,0.09922242818388557,0.2716600625110499,0.0126412166527327,0.16998895356348814,0.11923937246054447,0.405529526103316,0.0937026154491591,1436.4033459141142
DOP853,squared,39.94417733509464,18.743488308328512,70.68279291518213,23.76784287856055,3.1845528984481484,1.5507680553642818,5.727998935708707,1.8284373806038487,0.04978422130462155,0.04861040911080285,0.1312398872299204,0.0133727330191578,0.15977670934037855,0.07497395323331409,0.2827311716607286,0.0950713715142422,1260.3337478836377
LSODA,abs,45.96568246203576,21.360393211099222,90.96455035518726,23.39556957275891,3.8471675251164106,1.7288462985621151,7.542184446504983,1.889501200922868,0.07077276421641003,0.06330984892281433,0.2275381849004067,0.0142808591531558,0.183862729848143,0.08544157284439689,0.3638582014207491,0.0935822782910356,549.059229166277
LSODA,mabs,31.38815408656482,8.012687637295857,47.74416619356564,21.61246851024794,2.7588749671543797,0.841671296129555,3.8293052932391753,1.7757492541170596,0.03306123413717685,0.018828145674836812,0.0586543161153182,0.0126131416539891,0.12555261634625925,0.03205075054918344,0.1909766647742626,0.0864498740409917,550.4955315589905
LSODA,mse,39.30156390250942,27.950978414627745,102.8470496621728,19.95248691587481,3.0828386600301063,2.2542099922703502,8.17279166709493,1.5282705117738826,0.057417525264974185,0.08709205335435918,0.2671780945349453,0.0093424430286304,0.15720625561003765,0.11180391365851104,0.4113881986486914,0.0798099476634992,447.6986802599647
LSODA,squared,45.104772864367476,19.249208551102196,70.74067594496475,23.529857644919097,3.5963955135078085,1.539080016341279,5.73186876177704,1.7952499175701755,0.060799352415259564,0.047960305288115436,0.1314172780089418,0.0128916890661428,0.18041909145746987,0.0769968342044088,0.282962703779859,0.0941194305796764,519.553202442501
RK45,abs,51.86448339155814,27.53592866070944,90.59736341161022,22.23209466352657,4.387983744288221,2.2519049564802534,7.501308693416874,1.849151686190549,0.09680716997721536,0.08562182676001265,0.2250785284557263,0.0136774478341654,0.20745793356623254,0.11014371464283777,0.3623894536464409,0.0889283786541063,576.9326621148645
RK45,mabs,33.87544044096356,22.92944272607802,102.84946014450703,20.425508664719512,2.7576639123073976,1.836224519494448,8.172988302008333,1.5494350971614153,0.04315645173783112,0.07097524148607774,0.2671909511390603,0.0096029964812624,0.1355017617638542,0.09171777090431205,0.4113978405780281,0.081702034658878,806.0797638230854
RK45,mse,51.02524037342681,32.17230160547583,101.30411852694836,21.754542857258944,4.075792244237072,2.6257299786005146,8.235563583527943,1.6322365124169225,0.09292304808753463,0.1066772003771969,0.2712980301533265,0.0106567841298678,0.20410096149370718,0.12868920642190332,0.4052164741077934,0.0870181714290357,1061.901515865326
RK45,squared,40.567299970343214,17.97840402627878,71.76283061137597,22.67717977341099,3.2461714698040574,1.467073742065739,5.795320765432377,1.843665378198298,0.050482021482868074,0.04686864060662846,0.1343429710970068,0.0135964081070682,0.1622691998813728,0.0719136161051151,0.2870513224455038,0.0907087190936439,937.3763255996089
