best_ind,error_type,method,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time
"[1.3780692524975466, 12.06866819637444, 0.6520282276962155, 1.5797202769367553, 3.839529673184705, 0.42979890244839336, 2.4233606807271664, 23.317636942987306, 0.5961131192197584, 3.4738441824161264, 12.92022623271932, 0.5181789582086277, 4.16996299359136, 8.17939043875272, 0.562827345042177, 23.236375164599878, 0.6221522912163217, 0.34646477679537213, 1.2180832694158958]",MSE,RK45,0,31.557381021305197,2.5321364821822936,0.025646860657594087,0.1262295240852208,3605.8104090690613
"[1.5855374499516564, 21.986842092590614, 0.6556626499517395, 2.256569905956903, 22.745593734472344, 0.5216558827783477, 3.3774957780305046, 8.9471855874305, 0.43705403805245835, 1.087326354997384, 4.703365826698713, 0.4719596602084978, 3.813601049473779, 13.807583253523166, 0.5276615908113941, 22.080189538314166, 0.29147533057891417, 7.536461028071758, 1.620356793060571]",ABS,RK45,0,28.42316785991007,2.181222761658955,0.019030930943916474,0.11369267143964026,3609.752916097641
"[1.3780692524975466, 12.06866819637444, 0.6520282276962155, 1.5797202769367553, 3.839529673184705, 0.42979890244839336, 2.4233606807271664, 23.317636942987306, 0.5961131192197584, 3.4738441824161264, 12.92022623271932, 0.5181789582086277, 4.16996299359136, 8.17939043875272, 0.562827345042177, 23.236375164599878, 0.6221522912163217, 0.34646477679537213, 1.2180832694158958]",SQUARED,RK45,0,31.557381021305197,2.5321364821822936,0.025646860657594087,0.1262295240852208,3613.7509167194366
"[2.0258674054796906, 24.809935228131152, 0.6280872401472553, 2.454979938008144, 24.028141520715792, 0.5553373945713583, 3.268823540025027, 27.07270831252513, 0.37755926884885205, 2.070772032301996, 6.971023832696906, 0.5436062136945065, 1.3566989186076477, 27.38407389124308, 0.6723630824371988, 4.45279124899127, 0.21918582530547626, 21.54749820454025, 1.447286758412425]",MABS,RK45,0,33.64135803681117,2.9596718149938592,0.03503862900987619,0.1345654321472447,3617.2297592163086
"[1.4228182252024257, 10.207556992524754, 0.65451285395593, 2.099148868327936, 20.691644392453423, 0.6069169273614106, 2.6348135576727048, 23.21710374395044, 0.3949450521173542, 3.0001539026041115, 20.79433476343443, 0.6498000459329649, 3.5485750703862706, 11.095806733643188, 0.2648996482976914, 16.14516511699338, 0.25004187200403183, 22.771189113916783, 1.3792064901109062]",ABS,RK45,1,30.809099987172722,2.418163159074671,0.023390052255623975,0.12323639994869089,3604.05046916008
"[1.4912435743471186, 16.910511140491035, 0.7607073636854232, 2.1720344909932776, 7.489621235736701, 0.5063285989275172, 2.79124606679934, 20.353410248972537, 0.6447935926699336, 0.6926238525074115, 2.2479406964190627, 0.16500373284696312, 4.137286499019693, 11.554961443012015, 0.8124725577542615, 19.646210105321803, 0.4612210257724, 0.8979118471629111, 1.1825137877616758]",SQUARED,RK45,1,33.61322057693984,2.6593056554220684,0.028287626275839185,0.13445288230775937,3613.8785927295685
"[1.0874832601617368, 7.822264256223061, 0.5352095118609868, 2.96764145926411, 6.210731184898208, 0.3772133112821414, 1.884718251368028, 9.229555164032881, 0.5584019816068424, 2.363797058878599, 12.695972899213878, 0.6303866641004994, 3.5029750767788386, 19.59895135782004, 0.47248802622605635, 8.255490268164756, 0.4648160898926471, 18.93445632339683, 1.0210418218176767]",MABS,RK45,1,38.77831540516287,3.0409435597654086,0.036989350934714865,0.15511326162065148,3607.0035920143127
"[1.4912435743471186, 16.910511140491035, 0.7607073636854232, 2.1720344909932776, 7.489621235736701, 0.5063285989275172, 2.79124606679934, 20.353410248972537, 0.6447935926699336, 0.6926238525074115, 2.2479406964190627, 0.16500373284696312, 4.137286499019693, 11.554961443012015, 0.8124725577542615, 19.646210105321803, 0.4612210257724, 0.8979118471629111, 1.1825137877616758]",MSE,RK45,1,33.61322057693984,2.6593056554220684,0.028287626275839185,0.13445288230775937,3616.12859416008
"[1.6758026214495303, 20.354488573728144, 0.6938195329841366, 2.1326792995986303, 10.038286038447517, 0.5158131728618839, 2.6530642712092827, 18.872465397558756, 0.4076101543212822, 2.9811270104818814, 10.206746870018943, 0.6724139091992305, 3.3429742970015357, 16.320659753255896, 0.17948390419214355, 20.66194995427695, 0.2801656318565452, 23.711815483405775, 1.2633604526829265]",ABS,RK45,2,27.93798808479462,2.2227072627171114,0.01976171030294158,0.11175195233917849,3609.7058985233307
"[1.4745594216475233, 27.48846898695111, 0.6403175807592761, 2.3792235712923433, 23.527066447596585, 0.5942101176732832, 2.5860284428504423, 13.257402549631493, 0.4669580342533548, 4.41215145657471, 16.865967491068123, 0.42990718426176056, 3.950177352423108, 26.21398744658018, 0.3423100888675492, 22.16200556337253, 0.29940461648971983, 24.485780261775485, 1.527596821113639]",SQUARED,RK45,2,29.97914333455462,2.355188457974514,0.022187650690305483,0.11991657333821848,3619.284021139145
