best_ind,error_type,method,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=1.8909258948847896, '-': True}, 'tau': val=2.8683055827435116}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'C': {'B': {'n': val=7.400314368921063, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=4.2167349537252905}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=9.314332949464998, 'k': val=0.1, '-': False}, 'E': {'n': val=19.44391701264537, 'k': val=2.0, '-': False}, 'tau': val=5.0}}, ind_size=19)",SQUARED,RK45,0,125.49645261441452,9.78891839656088,0.3832916934981123,0.5019858104576582,39.75007224082947
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=5.384963300765708, 'k': val=2.0, '-': True}, 'tau': val=2.550097614715961}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=3.427102184083314}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=3.0297059186818833}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=21.163407795737175, 'k': val=0.1, '-': False}, 'tau': val=5.0}}, ind_size=19)",MABS,RK45,1,117.97016295134475,11.052779293867017,0.4886557204757419,0.471880651805379,42.89801740646362
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=0.1, '-': True}, 'tau': val=2.4739886158670434}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'C': {'B': {'n': val=11.504779876385054, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'E': {'D': {'n': val=0.1, 'k': val=0.6785656776922036, '-': False}, 'B': {'n': val=0.8000315626524002, 'k': val=0.1, '-': False}, 'E': {'n': val=8.929052498321898, 'k': val=2.0, '-': False}, 'tau': val=0.1}}, ind_size=19)",SQUARED,RK45,1,132.43469433828315,10.287195797947717,0.4233055895412527,0.5297387773531326,42.680622816085815
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=22.956997289697334, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'C': {'B': {'n': val=3.537991613877705, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=6.96364443568582, 'k': val=2.0, '-': False}, 'E': {'n': val=9.879055420797721, 'k': val=0.1, '-': False}, 'tau': val=1.3594581222519009}}, ind_size=19)",ABS,RK45,1,124.71602154055799,11.003077042263932,0.4842708175919824,0.4988640861622318,44.04785466194153
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=0.1, '-': True}, 'tau': val=2.60657797131419}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'E': {'D': {'n': val=8.726250825051286, 'k': val=2.0, '-': False}, 'B': {'n': val=5.045135497342965, 'k': val=0.1, '-': False}, 'E': {'n': val=9.151913165844228, 'k': val=2.0, '-': False}, 'tau': val=5.0}}, ind_size=19)",SQUARED,RK45,2,126.74039618039096,10.254734934382535,0.42063835429778235,0.5069615847215637,44.89114308357239
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=1.8909258948847896, '-': True}, 'tau': val=2.8683055827435116}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'C': {'B': {'n': val=7.400314368921063, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=4.2167349537252905}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=9.314332949464998, 'k': val=0.1, '-': False}, 'E': {'n': val=19.44391701264537, 'k': val=2.0, '-': False}, 'tau': val=5.0}}, ind_size=19)",ABS,RK45,0,125.49645261441452,9.78891839656088,0.3832916934981123,0.5019858104576582,45.769270181655884
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=2.251589524816292, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.6316444763838507, 'k': val=2.0, '-': False}, 'E': {'n': val=16.95915484667466, 'k': val=2.0, '-': False}, 'tau': val=5.0}}, ind_size=19)",MSE,RK45,1,129.62489945511996,10.223315280618378,0.41806470130770107,0.5184995978204797,47.19625377655029
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=1.8909258948847896, '-': True}, 'tau': val=2.8683055827435116}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'C': {'B': {'n': val=7.400314368921063, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=4.2167349537252905}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=9.314332949464998, 'k': val=0.1, '-': False}, 'E': {'n': val=19.44391701264537, 'k': val=2.0, '-': False}, 'tau': val=5.0}}, ind_size=19)",MABS,RK45,0,125.49645261441452,9.78891839656088,0.3832916934981123,0.5019858104576582,47.67405605316162
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=0.1, '-': True}, 'tau': val=2.4739886158670434}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'C': {'B': {'n': val=11.504779876385054, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'E': {'D': {'n': val=0.1, 'k': val=0.6785656776922036, '-': False}, 'B': {'n': val=0.8000315626524002, 'k': val=0.1, '-': False}, 'E': {'n': val=8.929052498321898, 'k': val=2.0, '-': False}, 'tau': val=0.1}}, ind_size=19)",MSE,RK45,2,132.43469433828315,10.287195797947717,0.4233055895412527,0.5297387773531326,48.19875764846802
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=5.384963300765708, 'k': val=2.0, '-': True}, 'tau': val=2.550097614715961}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=3.427102184083314}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=3.0297059186818833}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=21.163407795737175, 'k': val=0.1, '-': False}, 'tau': val=5.0}}, ind_size=19)",MABS,RK45,2,117.97016295134475,11.052779293867017,0.4886557204757419,0.471880651805379,49.96784830093384
