best_ind,error_type,method,seed,abs_error,squared_error,MSE_error,mean_abs_error,execution_time
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=2.1717508182104472, 'k': val=0.7639259529889278, '-': True}, 'tau': val=1.1119454252195555}, 'B': {'A': {'n': val=2.27665488199344, 'k': val=0.6802806790940288, '-': False}, 'tau': val=2.0839040785020324}, 'C': {'B': {'n': val=1.9408834524062528, 'k': val=0.41463716108705034, '-': False}, 'tau': val=2.178771610496891}, 'D': {'C': {'n': val=11.683914351662407, 'k': val=0.4734330578150676, '-': False}, 'tau': val=2.5175887114038873}, 'E': {'D': {'n': val=1.8222267250552333, 'k': val=0.5829537270108531, '-': False}, 'B': {'n': val=17.35932498481407, 'k': val=0.49482798693987234, '-': False}, 'E': {'n': val=29.885602747261075, 'k': val=0.49464501408274486, '-': False}, 'tau': val=1.4111138671804875}}, ind_size=19)",abs,RK45,0,69.04148781136858,5.481817256464465,0.1202012817330863,0.2761659512454744,513.2714853286743
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=2.1717508182104472, 'k': val=0.7639259529889278, '-': True}, 'tau': val=1.1119454252195555}, 'B': {'A': {'n': val=2.27665488199344, 'k': val=0.6802806790940288, '-': False}, 'tau': val=2.0839040785020324}, 'C': {'B': {'n': val=1.9408834524062528, 'k': val=0.41463716108705034, '-': False}, 'tau': val=2.178771610496891}, 'D': {'C': {'n': val=11.683914351662407, 'k': val=0.4734330578150676, '-': False}, 'tau': val=2.5175887114038873}, 'E': {'D': {'n': val=1.8222267250552333, 'k': val=0.5829537270108531, '-': False}, 'B': {'n': val=17.35932498481407, 'k': val=0.49482798693987234, '-': False}, 'E': {'n': val=29.885602747261075, 'k': val=0.49464501408274486, '-': False}, 'tau': val=1.4111138671804875}}, ind_size=19)",abs,RK45,0,69.04148781136858,5.481817256464465,0.1202012817330863,0.2761659512454744,513.2714853286743
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=7.653980866815517, 'k': val=0.6210823099429541, '-': True}, 'tau': val=1.388350474759998}, 'B': {'A': {'n': val=1.9171620813266599, 'k': val=0.46988343880670574, '-': False}, 'tau': val=1.7312904650877419}, 'C': {'B': {'n': val=5.906620326410706, 'k': val=0.43179546836927063, '-': False}, 'tau': val=0.26098352401312136}, 'D': {'C': {'n': val=0.9263335175387205, 'k': val=1.0099582631845285, '-': False}, 'tau': val=0.7818698680796484}, 'E': {'D': {'n': val=29.172769885660525, 'k': val=0.4948789575391275, '-': False}, 'B': {'n': val=12.879338870610091, 'k': val=0.5074150965200439, '-': False}, 'E': {'n': val=25.898461632363443, 'k': val=0.5810781817807794, '-': False}, 'tau': val=1.3405096779943049}}, ind_size=19)",abs,DOP853,0,41.5793711668329,3.5354214872965937,0.0499968203713538,0.1663174846673315,1587.294715642929
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=2.1717508182104472, 'k': val=0.7639259529889278, '-': True}, 'tau': val=1.1119454252195555}, 'B': {'A': {'n': val=2.27665488199344, 'k': val=0.6802806790940288, '-': False}, 'tau': val=2.0839040785020324}, 'C': {'B': {'n': val=1.9408834524062528, 'k': val=0.41463716108705034, '-': False}, 'tau': val=2.178771610496891}, 'D': {'C': {'n': val=11.683914351662407, 'k': val=0.4734330578150676, '-': False}, 'tau': val=2.5175887114038873}, 'E': {'D': {'n': val=1.8222267250552333, 'k': val=0.5829537270108531, '-': False}, 'B': {'n': val=17.35932498481407, 'k': val=0.49482798693987234, '-': False}, 'E': {'n': val=29.885602747261075, 'k': val=0.49464501408274486, '-': False}, 'tau': val=1.4111138671804875}}, ind_size=19)",abs,RK45,0,69.04148781136858,5.481817256464465,0.1202012817330863,0.2761659512454744,513.2714853286743
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=7.653980866815517, 'k': val=0.6210823099429541, '-': True}, 'tau': val=1.388350474759998}, 'B': {'A': {'n': val=1.9171620813266599, 'k': val=0.46988343880670574, '-': False}, 'tau': val=1.7312904650877419}, 'C': {'B': {'n': val=5.906620326410706, 'k': val=0.43179546836927063, '-': False}, 'tau': val=0.26098352401312136}, 'D': {'C': {'n': val=0.9263335175387205, 'k': val=1.0099582631845285, '-': False}, 'tau': val=0.7818698680796484}, 'E': {'D': {'n': val=29.172769885660525, 'k': val=0.4948789575391275, '-': False}, 'B': {'n': val=12.879338870610091, 'k': val=0.5074150965200439, '-': False}, 'E': {'n': val=25.898461632363443, 'k': val=0.5810781817807794, '-': False}, 'tau': val=1.3405096779943049}}, ind_size=19)",abs,DOP853,0,41.5793711668329,3.5354214872965937,0.0499968203713538,0.1663174846673315,1587.294715642929
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=8.071114853823484, 'k': val=0.6199951884349358, '-': True}, 'tau': val=1.4211945678148614}, 'B': {'A': {'n': val=1.7401719380108776, 'k': val=0.4449391359036696, '-': False}, 'tau': val=1.719008577132488}, 'C': {'B': {'n': val=5.557211659205397, 'k': val=0.44250210042825, '-': False}, 'tau': val=0.26063130034526893}, 'D': {'C': {'n': val=0.869891213227574, 'k': val=0.9634748916378382, '-': False}, 'tau': val=0.7840222841791854}, 'E': {'D': {'n': val=29.22912366257522, 'k': val=0.49562628626991745, '-': False}, 'B': {'n': val=12.9613328432431, 'k': val=0.516359199424619, '-': False}, 'E': {'n': val=25.841520404103772, 'k': val=0.5710445186063389, '-': False}, 'tau': val=1.3146455476966323}}, ind_size=19)",abs,LSODA,0,41.17804282377036,3.4631124754755183,0.0479725920711766,0.1647121712950814,983.9110145568848
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=17.02972222939662, 'k': val=0.6328615741011614, '-': True}, 'tau': val=1.4450881990974245}, 'B': {'A': {'n': val=1.1422423432149864, 'k': val=0.3709940374417313, '-': False}, 'tau': val=1.463411644788952}, 'C': {'B': {'n': val=4.443232291954642, 'k': val=0.47426825824786045, '-': False}, 'tau': val=1.4563729258820646}, 'D': {'C': {'n': val=10.46611638604492, 'k': val=0.6467231378647544, '-': False}, 'tau': val=1.6736258181134356}, 'E': {'D': {'n': val=1.2888769717085324, 'k': val=0.11247597371200654, '-': False}, 'B': {'n': val=22.002781087551597, 'k': val=0.6675716890801006, '-': False}, 'E': {'n': val=2.369530241924325, 'k': val=0.5253446717346004, '-': False}, 'tau': val=3.7354475951589254}}, ind_size=19)",squared,RK45,0,37.72746773436231,2.959916086036538,0.0350444129455114,0.1509098709374492,682.7241904735565
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=17.02972222939662, 'k': val=0.6328615741011614, '-': True}, 'tau': val=1.4450881990974245}, 'B': {'A': {'n': val=1.1422423432149864, 'k': val=0.3709940374417313, '-': False}, 'tau': val=1.463411644788952}, 'C': {'B': {'n': val=4.443232291954642, 'k': val=0.47426825824786045, '-': False}, 'tau': val=1.4563729258820646}, 'D': {'C': {'n': val=10.46611638604492, 'k': val=0.6467231378647544, '-': False}, 'tau': val=1.6736258181134356}, 'E': {'D': {'n': val=1.2888769717085324, 'k': val=0.11247597371200654, '-': False}, 'B': {'n': val=22.002781087551597, 'k': val=0.6675716890801006, '-': False}, 'E': {'n': val=2.369530241924325, 'k': val=0.5253446717346004, '-': False}, 'tau': val=3.7354475951589254}}, ind_size=19)",squared,RK45,0,37.72746773436231,2.959916086036538,0.0350444129455114,0.1509098709374492,682.7241904735565
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=29.347873323493488, 'k': val=0.6643404464327582, '-': True}, 'tau': val=1.4791099951581996}, 'B': {'A': {'n': val=1.021815710367172, 'k': val=0.3643376751474198, '-': False}, 'tau': val=1.288435506827408}, 'C': {'B': {'n': val=5.944261437781066, 'k': val=0.48478424735474424, '-': False}, 'tau': val=2.0537848430265075}, 'D': {'C': {'n': val=9.745448658187984, 'k': val=0.6474362176799866, '-': False}, 'tau': val=1.345324278795771}, 'E': {'D': {'n': val=1.1937562489256635, 'k': val=0.13885166575105648, '-': False}, 'B': {'n': val=23.792054880285818, 'k': val=0.685848704730922, '-': False}, 'E': {'n': val=2.0546374092262667, 'k': val=0.42786595358576884, '-': False}, 'tau': val=3.502710356600978}}, ind_size=19)",squared,DOP853,0,36.77406766198855,2.903581587572805,0.0337231441427672,0.1470962706479542,1068.718671798706
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=17.02972222939662, 'k': val=0.6328615741011614, '-': True}, 'tau': val=1.4450881990974245}, 'B': {'A': {'n': val=1.1422423432149864, 'k': val=0.3709940374417313, '-': False}, 'tau': val=1.463411644788952}, 'C': {'B': {'n': val=4.443232291954642, 'k': val=0.47426825824786045, '-': False}, 'tau': val=1.4563729258820646}, 'D': {'C': {'n': val=10.46611638604492, 'k': val=0.6467231378647544, '-': False}, 'tau': val=1.6736258181134356}, 'E': {'D': {'n': val=1.2888769717085324, 'k': val=0.11247597371200654, '-': False}, 'B': {'n': val=22.002781087551597, 'k': val=0.6675716890801006, '-': False}, 'E': {'n': val=2.369530241924325, 'k': val=0.5253446717346004, '-': False}, 'tau': val=3.7354475951589254}}, ind_size=19)",squared,RK45,0,37.72746773436231,2.959916086036538,0.0350444129455114,0.1509098709374492,682.7241904735565
