best_ind,error_type,solver,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time,model,method,parallel,run_id
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=23.820670724087062, 'k': val=0.4045103198370501}, 'B': {'n': val=16.142770721528564, 'k': val=0.10291598386191192}, 'D': {'n': val=28.167047860078977, 'k': val=1.4932901511753345}, 'tau': val=1.8994104243631103}, 'B': {'C': {'n': val=3.5462424970742283, 'k': val=0.5754652794096385}, 'D': {'n': val=7.42895345076978, 'k': val=0.6377947113507294}, 'tau': val=3.477350662705484}, 'C': {'A': {'n': val=1.8550976407742148, 'k': val=0.5522001879532141}, 'D': {'n': val=5.451416575610429, 'k': val=0.4166591234059199}, 'tau': val=4.135352005398733}, 'D': {'A': {'n': val=29.13124758232778, 'k': val=0.9682791923358405}, 'D': {'n': val=12.633208737537695, 'k': val=0.22352798572749447}, 'tau': val=0.6257373082274851}}, ind_size=22)",ABS,RK45,0,33.82459966552553,3.3103552702831194,0.027396130038728043,0.08456149916381381,1479.465384721756,ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250607_213330
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=1.4342581462614694, 'k': val=1.0094459074099278}, 'B': {'n': val=0.8922420583304995, 'k': val=0.5858891706142857}, 'D': {'n': val=15.394950747436416, 'k': val=1.101375030276557}, 'tau': val=1.896056495738915}, 'B': {'C': {'n': val=2.8674912416315594, 'k': val=0.6106743141516201}, 'D': {'n': val=29.12093702184157, 'k': val=0.6870660848062784}, 'tau': val=3.429053143829073}, 'C': {'A': {'n': val=0.10208936045749684, 'k': val=0.5074417132596621}, 'D': {'n': val=29.38428652044276, 'k': val=0.3171854421897154}, 'tau': val=4.996534601658214}, 'D': {'A': {'n': val=29.406911013177822, 'k': val=0.9641387771227157}, 'D': {'n': val=20.67163361049833, 'k': val=0.23043388819289154}, 'tau': val=0.5969458402819899}}, ind_size=22)",SQUARED,RK45,0,34.93467451860192,3.0251743603677492,0.02287919977656605,0.0873366862965048,1920.2804164886475,ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250607_213330
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=26.249700751756492, 'k': val=1.7684536840309297}, 'B': {'n': val=5.277373117233153, 'k': val=1.2468513582570504}, 'D': {'n': val=29.8158845699742, 'k': val=1.017678720619387}, 'tau': val=2.085609998157233}, 'B': {'C': {'n': val=0.1, 'k': val=1.5498000955242757}, 'D': {'n': val=3.180615392472649, 'k': val=0.7355671024089561}, 'tau': val=1.937312273410052}, 'C': {'A': {'n': val=0.16106767754633947, 'k': val=0.6492364460764679}, 'D': {'n': val=28.645723987800633, 'k': val=0.3238837399486256}, 'tau': val=4.9508100074650265}, 'D': {'A': {'n': val=29.928912576805804, 'k': val=0.9855089917788087}, 'D': {'n': val=27.33049421536967, 'k': val=0.10244163081399552}, 'tau': val=0.7263343182546544}}, ind_size=22)",MSE,RK45,0,35.07377480352794,2.9310693591979176,0.021477918971072218,0.08768443700881992,1701.3354363441467,ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250607_213330
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=17.383996691128306, 'k': val=1.9353195539334682}, 'B': {'n': val=23.330485380927247, 'k': val=1.9991842780131253}, 'D': {'n': val=27.27464656319367, 'k': val=1.076702985135801}, 'tau': val=1.756823778596156}, 'B': {'C': {'n': val=2.056002983882664, 'k': val=0.6015122721519622}, 'D': {'n': val=15.540261666818079, 'k': val=0.6994943946327619}, 'tau': val=3.310065214082825}, 'C': {'A': {'n': val=24.469117385389875, 'k': val=0.10009981076883695}, 'D': {'n': val=10.043206766856779, 'k': val=0.30382669866027645}, 'tau': val=2.6050198322901097}, 'D': {'A': {'n': val=25.58342270629198, 'k': val=0.968018899462881}, 'D': {'n': val=20.336012341597637, 'k': val=0.17513476561228197}, 'tau': val=0.5819482873989763}}, ind_size=22)",MABS,RK45,0,33.308276703025776,3.319461931561386,0.0275470687877131,0.08327069175756441,1446.2069034576416,ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250607_213330
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=26.00562459136923, 'k': val=1.5883209404934227}, 'B': {'n': val=18.724753914172286, 'k': val=1.4741344827449532}, 'D': {'n': val=26.73968409558013, 'k': val=1.4495588111219595}, 'tau': val=3.9572940814564226}, 'B': {'C': {'n': val=1.2017766138896848, 'k': val=0.6891531515356496}, 'D': {'n': val=22.164408108300947, 'k': val=0.77228013202186}, 'tau': val=2.9943675465303374}, 'C': {'A': {'n': val=29.62478172233711, 'k': val=0.8879952159171903}, 'D': {'n': val=0.5934544528566708, 'k': val=1.0825274512712508}, 'tau': val=4.4931756080273955}, 'D': {'A': {'n': val=29.201871945312043, 'k': val=0.7517889491180839}, 'D': {'n': val=28.784501943142196, 'k': val=0.29907448406260045}, 'tau': val=0.5659526687303871}}, ind_size=22)",ABS,DOP853,0,35.178554297640964,3.3491294948501658,0.028041670933188323,0.0879463857441024,3857.3395771980286,ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250607_213330
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=18.322332454955085, 'k': val=1.9353108550427467}, 'B': {'n': val=13.395620757815676, 'k': val=1.3804388970444497}, 'D': {'n': val=26.34917078380949, 'k': val=1.3064396873868127}, 'tau': val=1.778159118353518}, 'B': {'C': {'n': val=2.154670065469457, 'k': val=0.6147739841734184}, 'D': {'n': val=23.020872111546296, 'k': val=0.692664668326581}, 'tau': val=3.362400001012571}, 'C': {'A': {'n': val=0.5562615299087568, 'k': val=0.9747210612874997}, 'D': {'n': val=29.873213958982667, 'k': val=0.31684154296564804}, 'tau': val=4.993846550585384}, 'D': {'A': {'n': val=29.49084416621521, 'k': val=0.965952629214161}, 'D': {'n': val=10.294815408976381, 'k': val=0.17129827820518934}, 'tau': val=0.5582642016048946}}, ind_size=22)",SQUARED,DOP853,0,33.62296598760912,2.9818573320126296,0.022228682871193693,0.0840574149690228,1564.9065115451813,ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250607_213330
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=26.93708056542661, 'k': val=1.6578385140189897}, 'B': {'n': val=5.531434649505245, 'k': val=1.2674525502306075}, 'D': {'n': val=4.5445984409195415, 'k': val=1.542153245457525}, 'tau': val=1.60674959784231}, 'B': {'C': {'n': val=0.38326744053364264, 'k': val=0.7582093721227462}, 'D': {'n': val=4.322253885580399, 'k': val=0.6543109373111919}, 'tau': val=2.388253929929059}, 'C': {'A': {'n': val=0.8380439947387343, 'k': val=0.42654977982297154}, 'D': {'n': val=28.276773064111694, 'k': val=0.3416633275068067}, 'tau': val=4.97235213852818}, 'D': {'A': {'n': val=25.25318533587406, 'k': val=0.9787767730312524}, 'D': {'n': val=11.411389080409053, 'k': val=0.10042433866469214}, 'tau': val=0.7590908920211344}}, ind_size=22)",MSE,DOP853,0,34.468012499136194,2.816418553621771,0.019830533672962378,0.08617003124784053,2058.7777762413025,ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250607_213330
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=18.88002620706444, 'k': val=1.7490005081868016}, 'B': {'n': val=21.114505844423082, 'k': val=1.3887092315889702}, 'D': {'n': val=8.27744218594387, 'k': val=1.2577984600520928}, 'tau': val=3.3149302695599987}, 'B': {'C': {'n': val=0.4855625836737964, 'k': val=0.9331633654581618}, 'D': {'n': val=3.389133040858187, 'k': val=0.7505536676689062}, 'tau': val=1.80317548793547}, 'C': {'A': {'n': val=29.088044486452944, 'k': val=0.8833711214209815}, 'D': {'n': val=0.13831196395113507, 'k': val=1.1598233359098773}, 'tau': val=4.856565516606329}, 'D': {'A': {'n': val=28.348097292294682, 'k': val=0.7543387845576179}, 'D': {'n': val=27.432588337378547, 'k': val=0.2973754770890439}, 'tau': val=0.5476046452356517}}, ind_size=22)",MABS,DOP853,0,36.30179166770825,3.3543850222448586,0.0281297471936516,0.09075447916927062,4516.430455207825,ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250607_213330
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=29.983642816019543, 'k': val=1.555236965488119}, 'B': {'n': val=21.75761463723203, 'k': val=0.8607047494328919}, 'D': {'n': val=29.22030757666252, 'k': val=1.8269793732349775}, 'tau': val=2.7676649787910397}, 'B': {'C': {'n': val=19.147514392019687, 'k': val=0.4569554967562206}, 'D': {'n': val=0.9268497061226982, 'k': val=0.15600550604806246}, 'tau': val=3.7971820120859467}, 'C': {'A': {'n': val=0.9063848180000962, 'k': val=1.7623769665657998}, 'D': {'n': val=2.260653099174575, 'k': val=1.7707458410942687}, 'tau': val=2.4341132662373886}, 'D': {'A': {'n': val=23.924096165960254, 'k': val=0.9659968007796845}, 'D': {'n': val=29.476674834954185, 'k': val=0.10024843123513535}, 'tau': val=0.5367657047463832}}, ind_size=22)",ABS,LSODA,0,38.851194680788254,3.865785133459367,0.03736073674518865,0.09712798670197065,523.7730717658997,ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250607_213330
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=8.149903112304669, 'k': val=1.9246644133059387}, 'B': {'n': val=7.75266409569202, 'k': val=0.989905916273756}, 'D': {'n': val=6.981673287880597, 'k': val=1.8669491892966739}, 'tau': val=3.051690306382114}, 'B': {'C': {'n': val=1.3453040167413248, 'k': val=0.27440923117396304}, 'D': {'n': val=4.4924212035394, 'k': val=0.410254057672895}, 'tau': val=3.6795421478541006}, 'C': {'A': {'n': val=0.8753609182568326, 'k': val=0.8417174363398262}, 'D': {'n': val=27.392151620899178, 'k': val=0.3510824719403903}, 'tau': val=4.965152350448478}, 'D': {'A': {'n': val=14.669257715384017, 'k': val=0.9505165201601046}, 'D': {'n': val=27.456918370285752, 'k': val=0.1}, 'tau': val=0.7302732177903467}}, ind_size=22)",SQUARED,LSODA,0,34.335320613465875,2.888640379580292,0.02086060810635442,0.08583830153366474,522.7165586948395,ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250607_213330
