best_ind,error_type,solver,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time,model,method,parallel,run_id
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=14.982448963169308, 'k': val=1.9064388632321332}, 'B': {'n': val=19.049715714640392, 'k': val=1.398884209711898}, 'D': {'n': val=17.347463330158025, 'k': val=1.618719714178656}, 'tau': val=3.5452745689705627}, 'B': {'C': {'n': val=2.30022975202945, 'k': val=0.5782091792685268}, 'D': {'n': val=10.492964396166212, 'k': val=0.7683079678204909}, 'tau': val=3.086025940115696}, 'C': {'A': {'n': val=27.276816535339577, 'k': val=1.0011452438042885}, 'D': {'n': val=8.919394560449808, 'k': val=1.3566931265115958}, 'tau': val=3.52399227043033}, 'D': {'A': {'n': val=21.184093800513924, 'k': val=0.8002606531170634}, 'D': {'n': val=14.078078698993979, 'k': val=0.24596406019705402}, 'tau': val=0.542814317402323}}, ind_size=22)",SQUARED,ODEINT,0,38.38491840554314,3.2203968329719506,0.025927389404539414,0.09596229601385792,3980.4466483592987,ABCD,DE,False,ABCD_DE_SERIAL_20250826_145151
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=14.982448963169308, 'k': val=1.9064388632321332}, 'B': {'n': val=19.049715714640392, 'k': val=1.398884209711898}, 'D': {'n': val=17.347463330158025, 'k': val=1.618719714178656}, 'tau': val=3.5452745689705627}, 'B': {'C': {'n': val=2.30022975202945, 'k': val=0.5782091792685268}, 'D': {'n': val=10.492964396166212, 'k': val=0.7683079678204909}, 'tau': val=3.086025940115696}, 'C': {'A': {'n': val=27.276816535339577, 'k': val=1.0011452438042885}, 'D': {'n': val=8.919394560449808, 'k': val=1.3566931265115958}, 'tau': val=3.52399227043033}, 'D': {'A': {'n': val=21.184093800513924, 'k': val=0.8002606531170634}, 'D': {'n': val=14.078078698993979, 'k': val=0.24596406019705402}, 'tau': val=0.542814317402323}}, ind_size=22)",MSE,ODEINT,0,38.38491840554314,3.2203968329719506,0.025927389404539414,0.09596229601385792,6451.947910785675,ABCD,DE,False,ABCD_DE_SERIAL_20250826_145151
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=26.423494019872045, 'k': val=1.7450959287790484}, 'B': {'n': val=24.9423119791875, 'k': val=1.5057204728185114}, 'D': {'n': val=12.53417716072126, 'k': val=1.7130310430420792}, 'tau': val=3.3748241094952425}, 'B': {'C': {'n': val=2.9076924250684772, 'k': val=0.5721793105685967}, 'D': {'n': val=13.342407048898215, 'k': val=0.5881696565309313}, 'tau': val=3.8773581081334685}, 'C': {'A': {'n': val=29.8954513512009, 'k': val=1.0007590638929538}, 'D': {'n': val=29.68327453416974, 'k': val=1.1606154129142865}, 'tau': val=3.1904241866216303}, 'D': {'A': {'n': val=29.96236287664037, 'k': val=0.7953130044445729}, 'D': {'n': val=11.52190400159971, 'k': val=0.251750930163371}, 'tau': val=0.6958308193293878}}, ind_size=22)",SQUARED,ODEINT,1,37.91561204919703,3.2107795545933553,0.025772763370486756,0.0947890301229926,3683.6337921619415,ABCD,DE,False,ABCD_DE_SERIAL_20250826_145151
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=26.423494019872045, 'k': val=1.7450959287790484}, 'B': {'n': val=24.9423119791875, 'k': val=1.5057204728185114}, 'D': {'n': val=12.53417716072126, 'k': val=1.7130310430420792}, 'tau': val=3.3748241094952425}, 'B': {'C': {'n': val=2.9076924250684772, 'k': val=0.5721793105685967}, 'D': {'n': val=13.342407048898215, 'k': val=0.5881696565309313}, 'tau': val=3.8773581081334685}, 'C': {'A': {'n': val=29.8954513512009, 'k': val=1.0007590638929538}, 'D': {'n': val=29.68327453416974, 'k': val=1.1606154129142865}, 'tau': val=3.1904241866216303}, 'D': {'A': {'n': val=29.96236287664037, 'k': val=0.7953130044445729}, 'D': {'n': val=11.52190400159971, 'k': val=0.251750930163371}, 'tau': val=0.6958308193293878}}, ind_size=22)",MSE,ODEINT,1,37.91561204919703,3.2107795545933553,0.025772763370486756,0.0947890301229926,3176.9146699905396,ABCD,DE,False,ABCD_DE_SERIAL_20250826_145151
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=15.777579519984542, 'k': val=1.4359643199181944}, 'B': {'n': val=20.324778231437712, 'k': val=1.239668586515773}, 'D': {'n': val=24.272823696579138, 'k': val=1.464793207572984}, 'tau': val=1.7183366909446591}, 'B': {'C': {'n': val=2.6631739011105005, 'k': val=0.6094909723583404}, 'D': {'n': val=29.102605257152725, 'k': val=0.6674074833028822}, 'tau': val=3.262568460392146}, 'C': {'A': {'n': val=0.6148457501858768, 'k': val=1.028863325775088}, 'D': {'n': val=29.280697898464915, 'k': val=0.30749102284342633}, 'tau': val=4.8573658620719256}, 'D': {'A': {'n': val=29.96835065622337, 'k': val=0.9557516143950923}, 'D': {'n': val=18.665026706358425, 'k': val=0.22346517479854078}, 'tau': val=0.7443431305187935}}, ind_size=22)",SQUARED,ODEINT,2,36.069742766595624,3.0820861834447584,0.02374813810545271,0.09017435691648912,3575.0658481121063,ABCD,DE,False,ABCD_DE_SERIAL_20250826_145151
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=15.777579519984542, 'k': val=1.4359643199181944}, 'B': {'n': val=20.324778231437712, 'k': val=1.239668586515773}, 'D': {'n': val=24.272823696579138, 'k': val=1.464793207572984}, 'tau': val=1.7183366909446591}, 'B': {'C': {'n': val=2.6631739011105005, 'k': val=0.6094909723583404}, 'D': {'n': val=29.102605257152725, 'k': val=0.6674074833028822}, 'tau': val=3.262568460392146}, 'C': {'A': {'n': val=0.6148457501858768, 'k': val=1.028863325775088}, 'D': {'n': val=29.280697898464915, 'k': val=0.30749102284342633}, 'tau': val=4.8573658620719256}, 'D': {'A': {'n': val=29.96835065622337, 'k': val=0.9557516143950923}, 'D': {'n': val=18.665026706358425, 'k': val=0.22346517479854078}, 'tau': val=0.7443431305187935}}, ind_size=22)",MSE,ODEINT,2,36.069742766595624,3.0820861834447584,0.02374813810545271,0.09017435691648912,3585.416874885559,ABCD,DE,False,ABCD_DE_SERIAL_20250826_145151
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=28.68701135070112, 'k': val=1.58389217543198}, 'B': {'n': val=5.524166265690116, 'k': val=1.1823145649544695}, 'D': {'n': val=29.096162610337593, 'k': val=1.41482153847048}, 'tau': val=2.914381019245042}, 'B': {'C': {'n': val=0.9491555958513356, 'k': val=1.8681217544868511}, 'D': {'n': val=4.531967476464727, 'k': val=0.6408675205598354}, 'tau': val=2.0283588574525395}, 'C': {'A': {'n': val=0.45325064400929627, 'k': val=1.076332078796401}, 'D': {'n': val=25.441123120721677, 'k': val=0.3724947059515192}, 'tau': val=4.87273114998845}, 'D': {'A': {'n': val=27.72992249132789, 'k': val=0.9939116600906207}, 'D': {'n': val=24.097961985529928, 'k': val=0.1}, 'tau': val=0.8017312365842649}}, ind_size=22)",SQUARED,ODEINT,3,346.6258777995472,18.65492240681726,0.8700153250109319,0.8665646944988681,7122.399729251862,ABCD,DE,False,ABCD_DE_SERIAL_20250826_145151
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=28.68701135070112, 'k': val=1.58389217543198}, 'B': {'n': val=5.524166265690116, 'k': val=1.1823145649544695}, 'D': {'n': val=29.096162610337593, 'k': val=1.41482153847048}, 'tau': val=2.914381019245042}, 'B': {'C': {'n': val=0.9491555958513356, 'k': val=1.8681217544868511}, 'D': {'n': val=4.531967476464727, 'k': val=0.6408675205598354}, 'tau': val=2.0283588574525395}, 'C': {'A': {'n': val=0.45325064400929627, 'k': val=1.076332078796401}, 'D': {'n': val=25.441123120721677, 'k': val=0.3724947059515192}, 'tau': val=4.87273114998845}, 'D': {'A': {'n': val=27.72992249132789, 'k': val=0.9939116600906207}, 'D': {'n': val=24.097961985529928, 'k': val=0.1}, 'tau': val=0.8017312365842649}}, ind_size=22)",MSE,ODEINT,3,346.6258777995472,18.65492240681726,0.8700153250109319,0.8665646944988681,7090.42286324501,ABCD,DE,False,ABCD_DE_SERIAL_20250826_145151
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=14.131224130886897, 'k': val=1.9674120177949785}, 'B': {'n': val=19.78745149654104, 'k': val=1.4568558720090143}, 'D': {'n': val=16.65030166468638, 'k': val=1.241362461763967}, 'tau': val=3.6890892727864486}, 'B': {'C': {'n': val=2.7669146005758396, 'k': val=0.5944520170150245}, 'D': {'n': val=21.607037229888338, 'k': val=0.8031754341404876}, 'tau': val=3.253157860454052}, 'C': {'A': {'n': val=25.030004195173476, 'k': val=1.001350281099024}, 'D': {'n': val=12.441895738808848, 'k': val=1.7024502618934947}, 'tau': val=3.15344901718525}, 'D': {'A': {'n': val=25.43299060491568, 'k': val=0.7722944717372793}, 'D': {'n': val=28.57867825246673, 'k': val=0.25864725853563697}, 'tau': val=0.5363206573631483}}, ind_size=22)",SQUARED,ODEINT,4,344.8458240555936,18.582004291164356,0.8632272086921269,0.8621145601389841,3597.0705001354218,ABCD,DE,False,ABCD_DE_SERIAL_20250826_145151
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=14.131224130886897, 'k': val=1.9674120177949785}, 'B': {'n': val=19.78745149654104, 'k': val=1.4568558720090143}, 'D': {'n': val=16.65030166468638, 'k': val=1.241362461763967}, 'tau': val=3.6890892727864486}, 'B': {'C': {'n': val=2.7669146005758396, 'k': val=0.5944520170150245}, 'D': {'n': val=21.607037229888338, 'k': val=0.8031754341404876}, 'tau': val=3.253157860454052}, 'C': {'A': {'n': val=25.030004195173476, 'k': val=1.001350281099024}, 'D': {'n': val=12.441895738808848, 'k': val=1.7024502618934947}, 'tau': val=3.15344901718525}, 'D': {'A': {'n': val=25.43299060491568, 'k': val=0.7722944717372793}, 'D': {'n': val=28.57867825246673, 'k': val=0.25864725853563697}, 'tau': val=0.5363206573631483}}, ind_size=22)",MSE,ODEINT,4,344.8458240555936,18.582004291164356,0.8632272086921269,0.8621145601389841,3608.3286521434784,ABCD,DE,False,ABCD_DE_SERIAL_20250826_145151
