best_ind,error_type,solver,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time,model,method,parallel,run_id
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=30.0, 'k': val=1.9999953698965416}, 'B': {'n': val=6.750281172127234, 'k': val=1.9999999999998914}, 'D': {'n': val=30.0, 'k': val=1.0093933737881482}, 'tau': val=1.4269527389150294}, 'B': {'C': {'n': val=2.958391237779159, 'k': val=0.6073726108761205}, 'D': {'n': val=7.482614316693368, 'k': val=0.6712932486506549}, 'tau': val=3.2158190887820437}, 'C': {'A': {'n': val=0.15063246583159845, 'k': val=0.13444308554467443}, 'D': {'n': val=30.0, 'k': val=0.3132525841088223}, 'tau': val=4.999999999999044}, 'D': {'A': {'n': val=30.0, 'k': val=0.9684951875630051}, 'D': {'n': val=14.96711648159648, 'k': val=0.1000000002213214}, 'tau': val=0.610086601720141}}, ind_size=22)",SQUARED,ODEINT,0,34.65294455715226,3.0242641128278094,0.022865433560345417,0.08663236139288066,16044.081361532211,ABCD,SADE,False,ABCD_SADE_SERIAL_20251024_122556
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=30.0, 'k': val=1.9999999993758757}, 'B': {'n': val=5.648411923338682, 'k': val=1.2071742915633663}, 'D': {'n': val=6.106667253516288, 'k': val=1.6344018214264917}, 'tau': val=2.4586339389725325}, 'B': {'C': {'n': val=0.10792819555407528, 'k': val=1.5752954252742832}, 'D': {'n': val=4.310791014065679, 'k': val=0.6500715321534513}, 'tau': val=2.2174793988152186}, 'C': {'A': {'n': val=0.12200706113419808, 'k': val=1.4685627631841967}, 'D': {'n': val=30.0, 'k': val=0.3463218407381614}, 'tau': val=4.842118769738736}, 'D': {'A': {'n': val=30.0, 'k': val=0.9915293716124433}, 'D': {'n': val=18.27961601292907, 'k': val=0.10000000000000003}, 'tau': val=0.7780014060937609}}, ind_size=22)",MSE,ODEINT,0,34.56140101693794,2.9101426819132175,0.02117232607273265,0.08640350254234484,23602.656012058258,ABCD,SADE,False,ABCD_SADE_SERIAL_20251024_122556
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=7.7350057256749265, 'k': val=1.793819463463533}, 'B': {'n': val=6.510979448561606, 'k': val=1.1426013571622}, 'D': {'n': val=5.747297087740455, 'k': val=1.6734268609437426}, 'tau': val=2.8159883921088293}, 'B': {'C': {'n': val=6.766874283957673, 'k': val=0.4240335321235278}, 'D': {'n': val=5.083427304716309, 'k': val=0.3311614013193414}, 'tau': val=3.936208963695262}, 'C': {'A': {'n': val=0.1, 'k': val=0.6455151210528371}, 'D': {'n': val=10.820069354853079, 'k': val=0.4386958920162668}, 'tau': val=4.789045721960895}, 'D': {'A': {'n': val=18.37978463555137, 'k': val=0.9498270337129339}, 'D': {'n': val=30.0, 'k': val=0.1162097437919207}, 'tau': val=0.9441491975465452}}, ind_size=22)",SQUARED,ODEINT,1,34.39187605902934,2.9965548683542833,0.022448352697644416,0.08597969014757335,5922.564048528671,ABCD,SADE,False,ABCD_SADE_SERIAL_20251024_122556
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=19.16110950846722, 'k': val=1.9999999989615413}, 'B': {'n': val=23.32779720659869, 'k': val=1.1799294635872075}, 'D': {'n': val=30.0, 'k': val=1.002651124739788}, 'tau': val=1.2871103623390636}, 'B': {'C': {'n': val=2.899850826951273, 'k': val=0.6132747049113166}, 'D': {'n': val=7.256860327967872, 'k': val=0.6889490804047398}, 'tau': val=3.1518467893562176}, 'C': {'A': {'n': val=0.2514247248764891, 'k': val=1.165055732065239}, 'D': {'n': val=30.0, 'k': val=0.3124437637670033}, 'tau': val=4.999999999999846}, 'D': {'A': {'n': val=30.0, 'k': val=0.9680221522748188}, 'D': {'n': val=13.761084135908083, 'k': val=0.102992768572791}, 'tau': val=0.560497829947043}}, ind_size=22)",MSE,ODEINT,1,34.334443705307145,3.017448412905642,0.02276248731136694,0.08583610926326792,16871.20385336876,ABCD,SADE,False,ABCD_SADE_SERIAL_20251024_122556
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=30.0, 'k': val=2.0}, 'B': {'n': val=30.0, 'k': val=1.9998565080974136}, 'D': {'n': val=17.60629233416619, 'k': val=0.9967681763609347}, 'tau': val=2.3673024396004863}, 'B': {'C': {'n': val=2.375684676271098, 'k': val=0.6041863097044797}, 'D': {'n': val=16.400760612852753, 'k': val=0.7811141177761508}, 'tau': val=3.0218528408597853}, 'C': {'A': {'n': val=30.0, 'k': val=0.9803567179056212}, 'D': {'n': val=1.7442599989799887, 'k': val=1.5075768945940207}, 'tau': val=4.686864146041461}, 'D': {'A': {'n': val=30.0, 'k': val=0.7583215935609724}, 'D': {'n': val=17.7491176913491, 'k': val=0.2629931651672804}, 'tau': val=0.6211714306733267}}, ind_size=22)",SQUARED,ODEINT,2,36.735371766331106,3.113901789458771,0.02424096088598637,0.09183842941582773,31812.134263038635,ABCD,SADE,False,ABCD_SADE_SERIAL_20251024_122556
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=30.0, 'k': val=1.9999333401699892}, 'B': {'n': val=5.0271347836365585, 'k': val=1.2190085308532532}, 'D': {'n': val=6.248665863187589, 'k': val=1.6228911014542804}, 'tau': val=2.422248659705525}, 'B': {'C': {'n': val=0.1, 'k': val=0.2598546712654109}, 'D': {'n': val=4.319394466014319, 'k': val=0.6407389990313631}, 'tau': val=2.1282867300104273}, 'C': {'A': {'n': val=0.3471001531312615, 'k': val=0.35795636096961736}, 'D': {'n': val=30.0, 'k': val=0.3445528578452045}, 'tau': val=4.835000958012995}, 'D': {'A': {'n': val=29.198023914098865, 'k': val=0.9897597089441208}, 'D': {'n': val=27.39881436628273, 'k': val=0.11738283379887994}, 'tau': val=0.8692139363492238}}, ind_size=22)",MSE,ODEINT,2,34.87835450146705,2.924407129797176,0.021380392652021407,0.08719588625366757,38336.0847196579,ABCD,SADE,False,ABCD_SADE_SERIAL_20251024_122556
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=29.623829616438464, 'k': val=1.9997719942842427}, 'B': {'n': val=6.154962400418336, 'k': val=1.8879087241452377}, 'D': {'n': val=9.891562443861396, 'k': val=1.3285780399976685}, 'tau': val=1.52735532537438}, 'B': {'C': {'n': val=1.036145373980204, 'k': val=0.6533175847170859}, 'D': {'n': val=7.346727328221096, 'k': val=0.7222437315385354}, 'tau': val=2.6748323780734644}, 'C': {'A': {'n': val=0.9412808742489503, 'k': val=0.10731873271602449}, 'D': {'n': val=30.0, 'k': val=0.3134152818214754}, 'tau': val=4.999999999697369}, 'D': {'A': {'n': val=30.0, 'k': val=0.9686438753122495}, 'D': {'n': val=27.670581174690668, 'k': val=0.14506069982028535}, 'tau': val=0.6306361186473771}}, ind_size=22)",SQUARED,ODEINT,3,34.987396398822,3.046959129054673,0.023209899835324007,0.08746849099705503,11762.541873455048,ABCD,SADE,False,ABCD_SADE_SERIAL_20251024_122556
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=11.380634757400667, 'k': val=1.7600977857922637}, 'B': {'n': val=10.142692117581122, 'k': val=0.9747515056665406}, 'D': {'n': val=4.89562230317984, 'k': val=1.5533558126364442}, 'tau': val=2.588798012858236}, 'B': {'C': {'n': val=0.6769997977373828, 'k': val=0.8234870459244528}, 'D': {'n': val=3.3647035968049903, 'k': val=0.7510911826002421}, 'tau': val=1.6963682567353604}, 'C': {'A': {'n': val=0.6880474240879211, 'k': val=1.2596098938078093}, 'D': {'n': val=20.838731874409632, 'k': val=0.3625811523706208}, 'tau': val=4.808105118613637}, 'D': {'A': {'n': val=23.65680313428116, 'k': val=0.9649743446818518}, 'D': {'n': val=30.0, 'k': val=0.13483860228566297}, 'tau': val=0.8522024422651554}}, ind_size=22)",MSE,ODEINT,3,33.96375011547092,3.0123261649804625,0.022685272310564754,0.08490937528867729,6722.983060121536,ABCD,SADE,False,ABCD_SADE_SERIAL_20251024_122556
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=9.439112872637502, 'k': val=2.0}, 'B': {'n': val=5.967400480942422, 'k': val=1.1647694944915037}, 'D': {'n': val=7.749486517188543, 'k': val=1.4923643465854037}, 'tau': val=2.9689015293699486}, 'B': {'C': {'n': val=0.1, 'k': val=0.6067948290283602}, 'D': {'n': val=4.48157466529358, 'k': val=0.6347324844236815}, 'tau': val=2.196627643257299}, 'C': {'A': {'n': val=0.11023579364342659, 'k': val=0.633856620102273}, 'D': {'n': val=30.0, 'k': val=0.33473951550228687}, 'tau': val=4.991127483286819}, 'D': {'A': {'n': val=12.196150950779638, 'k': val=0.9498079639622142}, 'D': {'n': val=28.889210523493745, 'k': val=0.14186472376663298}, 'tau': val=0.7686222608530505}}, ind_size=22)",SQUARED,ODEINT,4,36.6459403690746,2.9969032359256014,0.02245357251375336,0.09161485092268652,7106.0090544223785,ABCD,SADE,False,ABCD_SADE_SERIAL_20251024_122556
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=30.0, 'k': val=1.9999989218810323}, 'B': {'n': val=30.0, 'k': val=1.1333319203712362}, 'D': {'n': val=30.0, 'k': val=0.9970835400480117}, 'tau': val=1.2631665316819447}, 'B': {'C': {'n': val=0.13658039432881858, 'k': val=0.23379521760119062}, 'D': {'n': val=4.513556878573451, 'k': val=0.7018597489167949}, 'tau': val=1.8537962419040417}, 'C': {'A': {'n': val=0.10496573269935379, 'k': val=0.36234474085910173}, 'D': {'n': val=30.0, 'k': val=0.3147614223625642}, 'tau': val=4.999999999999713}, 'D': {'A': {'n': val=30.0, 'k': val=0.9683783958238764}, 'D': {'n': val=12.659166637571788, 'k': val=0.10000000000000024}, 'tau': val=0.5702982784570197}}, ind_size=22)",MSE,ODEINT,4,36.670055752354244,3.0957988462020856,0.023959926240365408,0.09167513938088558,17140.307211637497,ABCD,SADE,False,ABCD_SADE_SERIAL_20251024_122556
