2025-07-06 23:34:42,126 | INFO | Starting execution - Serial
2025-07-06 23:34:42,126 | INFO | Running with seed=0, solver=ODEINT, error=SQUARED
2025-07-06 23:34:42,126 | INFO | Starting execution for CMAES: Solver=ODEINT, Error=SQUARED, Seed=0
2025-07-06 23:34:43,635 | INFO | Sigma increased: 11.179007183166679
2025-07-06 23:34:53,906 | INFO | Sigma increased: 4.9686498236079455
2025-07-06 23:35:00,046 | INFO | Sigma increased: 6.9604979800717315
2025-07-06 23:35:03,222 | INFO | Sigma increased: 8.044734786290324
2025-07-06 23:35:07,579 | INFO | Sigma increased: 10.083593095629302
2025-07-06 23:35:11,571 | INFO | Sigma increased: 9.928269994135643
2025-07-06 23:35:15,147 | INFO | Sigma increased: 10.350886744863065
2025-07-06 23:35:19,501 | INFO | Sigma increased: 11.134969687446192
2025-07-06 23:35:23,791 | INFO | Sigma increased: 12.697207675111972
2025-07-06 23:35:27,802 | INFO | Sigma increased: 12.54755139275401
2025-07-06 23:35:33,638 | INFO | Sigma increased: 15
2025-07-06 23:35:40,837 | INFO | Sigma increased: 13.396038358055456
2025-07-06 23:35:47,384 | INFO | Sigma increased: 15
2025-07-06 23:35:56,298 | INFO | Sigma increased: 15
2025-07-06 23:36:04,012 | INFO | Sigma increased: 15
2025-07-06 23:36:12,216 | INFO | Sigma increased: 15
2025-07-06 23:36:17,976 | INFO | Sigma increased: 15
2025-07-06 23:36:21,916 | INFO | Sigma increased: 15
2025-07-06 23:36:29,282 | INFO | Sigma increased: 15
2025-07-06 23:36:52,087 | INFO | Sigma increased: 8.955297155862757
2025-07-06 23:36:56,163 | INFO | Sigma increased: 15
2025-07-06 23:37:05,659 | INFO | Sigma increased: 14.133010939007898
2025-07-06 23:37:11,352 | INFO | Sigma increased: 15
2025-07-06 23:37:24,159 | INFO | Sigma increased: 15
2025-07-06 23:37:39,417 | INFO | Sigma increased: 15
2025-07-06 23:37:48,658 | INFO | Sigma increased: 15
2025-07-06 23:37:56,184 | INFO | Sigma increased: 15
2025-07-06 23:46:04,453 | INFO | Sigma increased: 1
2025-07-06 23:46:47,162 | INFO | Sigma increased: 3.687430528268289
2025-07-06 23:47:28,966 | INFO | Sigma increased: 13.29059587768109
2025-07-06 23:47:46,580 | INFO | Sigma increased: 15
2025-07-06 23:48:06,972 | INFO | Sigma increased: 15
2025-07-06 23:48:25,166 | INFO | Sigma increased: 15
2025-07-06 23:48:43,008 | INFO | Sigma increased: 15
2025-07-06 23:49:02,818 | INFO | Sigma increased: 15
2025-07-06 23:49:23,903 | INFO | Sigma increased: 15
2025-07-06 23:49:51,227 | INFO | Sigma increased: 15
2025-07-06 23:50:21,327 | INFO | Sigma increased: 15
2025-07-06 23:50:43,674 | INFO | Sigma increased: 15
2025-07-06 23:51:13,371 | INFO | Sigma increased: 15
2025-07-06 23:51:33,410 | INFO | Sigma increased: 15
2025-07-06 23:51:56,593 | INFO | Sigma increased: 15
2025-07-06 23:52:32,393 | INFO | Sigma increased: 15
2025-07-06 23:53:07,941 | INFO | Sigma increased: 15
2025-07-06 23:53:41,867 | INFO | Sigma increased: 15
2025-07-06 23:54:27,374 | INFO | Sigma increased: 15
2025-07-06 23:55:06,992 | INFO | Sigma increased: 15
2025-07-06 23:55:49,193 | INFO | Sigma increased: 15
2025-07-06 23:56:27,521 | INFO | Sigma increased: 15
2025-07-06 23:57:06,796 | INFO | Sigma increased: 15
2025-07-06 23:57:44,526 | INFO | Sigma increased: 15
2025-07-06 23:58:52,764 | INFO | Sigma increased: 15
2025-07-06 23:59:57,161 | INFO | Sigma increased: 15
2025-07-07 00:00:56,054 | INFO | Sigma increased: 15
2025-07-07 00:01:41,530 | INFO | Sigma increased: 15
2025-07-07 00:02:33,392 | INFO | Sigma increased: 15
2025-07-07 00:03:29,816 | INFO | Sigma increased: 15
2025-07-07 00:04:39,410 | INFO | Sigma increased: 15
2025-07-07 00:05:42,578 | INFO | Sigma increased: 15
2025-07-07 00:09:01,586 | INFO | Sigma increased: 9.952299975822964
2025-07-07 00:10:09,618 | INFO | Sigma increased: 15
2025-07-07 00:11:17,330 | INFO | Sigma increased: 15
2025-07-07 00:12:23,251 | INFO | Sigma increased: 15
2025-07-07 00:13:27,911 | INFO | Sigma increased: 15
2025-07-07 00:14:29,578 | INFO | Sigma increased: 15
2025-07-07 00:15:56,947 | INFO | Sigma increased: 15
2025-07-07 00:17:12,029 | INFO | Sigma increased: 15
2025-07-07 00:18:25,632 | INFO | Sigma increased: 15
2025-07-07 00:19:31,317 | INFO | Sigma increased: 15
2025-07-07 00:20:42,131 | INFO | Sigma increased: 15
