best_ind,error_type,solver,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time,model,method,parallel,run_id
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=25.414829024359893, 'k': val=1.422222076367851}, 'C': {'n': val=29.2344834182069, 'k': val=1.3728496963108343}, 'D': {'n': val=25.4279456198381, 'k': val=0.3016662161663517}, 'E': {'n': val=28.507733523572703, 'k': val=1.5198669596444727}, 'tau': val=1.051609313622683}, 'B': {'A': {'n': val=11.573097627945105, 'k': val=1.9656717759752098}, 'C': {'n': val=13.914291271476522, 'k': val=0.9837547972007549}, 'D': {'n': val=6.5297336495406535, 'k': val=0.15230887993654596}, 'E': {'n': val=29.53864341078203, 'k': val=0.10931993225203489}, 'tau': val=3.8430352809031825}, 'C': {'D': {'n': val=5.588683248880408, 'k': val=1.576387525871026}, 'E': {'n': val=3.4079489319648264, 'k': val=0.5644010708708747}, 'tau': val=0.78631519806479}, 'D': {'C': {'n': val=28.083076313779905, 'k': val=0.8341157949263069, '-': False}, 'tau': val=0.10000685790535281}, 'E': {'A': {'n': val=0.7161224015109413, 'k': val=0.1018818261255345}, 'B': {'n': val=27.830948312356877, 'k': val=0.7078276152737254}, 'C': {'n': val=5.3549733144607385, 'k': val=0.20231794052665852}, 'E': {'n': val=0.21574931213065088, 'k': val=0.6791076247923445}, 'tau': val=0.4536055490190648}}, ind_size=35)",SQUARED,ODEINT,0,485.4690114404748,23.153253301366338,0.2680365692186155,0.24273450572023741,5232.126846551895,ECOLI,CMAES,False,ECOLI_CMAES_SERIAL_20250706_233442
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=21.29113449591202, 'k': val=1.640657920397292}, 'C': {'n': val=25.6775958484458, 'k': val=1.6576684276828957}, 'D': {'n': val=12.85569644264351, 'k': val=0.18364523652360906}, 'E': {'n': val=15.601129438147852, 'k': val=0.7880112982286289}, 'tau': val=3.7882503947649466}, 'B': {'A': {'n': val=22.00040031211339, 'k': val=1.326574502314805}, 'C': {'n': val=27.600069151560948, 'k': val=0.18018809098969307}, 'D': {'n': val=20.178744214753642, 'k': val=0.270918235038184}, 'E': {'n': val=13.220117794631813, 'k': val=1.6732715922304804}, 'tau': val=5.0}, 'C': {'D': {'n': val=14.896958681910627, 'k': val=1.1274025060462292}, 'E': {'n': val=3.8172347521850876, 'k': val=0.754928970153639}, 'tau': val=0.19630715064622023}, 'D': {'C': {'n': val=24.315679188306188, 'k': val=0.6637339303379327, '-': False}, 'tau': val=0.1}, 'E': {'A': {'n': val=2.641918878158921, 'k': val=0.11606681018654735}, 'B': {'n': val=0.905025120974733, 'k': val=1.3243731111724948}, 'C': {'n': val=4.441067194323564, 'k': val=0.10308366144002334}, 'E': {'n': val=0.8810077853243264, 'k': val=0.5528084617498941}, 'tau': val=0.4536366198091149}}, ind_size=35)",MSE,ODEINT,0,514.2797127234262,23.671453704448332,0.2801688602409202,0.257139856361713,5124.628124713898,ECOLI,CMAES,False,ECOLI_CMAES_SERIAL_20250706_233442
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=28.722871192087467, 'k': val=1.776278037928376}, 'C': {'n': val=5.137559610953713, 'k': val=0.8950931533969745}, 'D': {'n': val=9.127398302094925, 'k': val=0.10247994900822939}, 'E': {'n': val=10.360264228706223, 'k': val=0.49479178559191195}, 'tau': val=0.1}, 'B': {'A': {'n': val=26.86109273916251, 'k': val=1.9871641631534673}, 'C': {'n': val=0.5393228164721894, 'k': val=0.32859434352214595}, 'D': {'n': val=25.868206024656903, 'k': val=0.14442194071505282}, 'E': {'n': val=18.46419307061111, 'k': val=0.5063090539541942}, 'tau': val=1.1814696165302143}, 'C': {'D': {'n': val=0.38887691757816345, 'k': val=1.9457274586296267}, 'E': {'n': val=3.050934366719668, 'k': val=1.6264513451749771}, 'tau': val=3.8214310522297135}, 'D': {'C': {'n': val=25.344309722644727, 'k': val=0.6494916363187497, '-': False}, 'tau': val=0.5653581073420936}, 'E': {'A': {'n': val=5.625313289007091, 'k': val=0.34020471051497897}, 'B': {'n': val=0.9792172211098887, 'k': val=0.5828241156845003}, 'C': {'n': val=28.457779430510737, 'k': val=0.11833060083231225}, 'E': {'n': val=0.7456612371665335, 'k': val=0.3113188047120625}, 'tau': val=0.551529579406249}}, ind_size=35)",SQUARED,ODEINT,1,550.2837554403244,25.375082372901737,0.3219474027157742,0.2751418777201624,3507.743463039398,ECOLI,CMAES,False,ECOLI_CMAES_SERIAL_20250706_233442
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=26.876887436104752, 'k': val=1.9262756825366425}, 'C': {'n': val=5.7241674315245765, 'k': val=0.4370894599669099}, 'D': {'n': val=11.657240732922494, 'k': val=0.13180287378196998}, 'E': {'n': val=20.256482385920425, 'k': val=0.16728912718416156}, 'tau': val=1.7318736979146332}, 'B': {'A': {'n': val=4.557058782395303, 'k': val=1.8954482227753833}, 'C': {'n': val=3.291291880720165, 'k': val=1.9697496990948486}, 'D': {'n': val=3.4355750499984303, 'k': val=0.1358491901849269}, 'E': {'n': val=1.4377257007308164, 'k': val=0.1969118741670039}, 'tau': val=3.289257119549552}, 'C': {'D': {'n': val=0.35212810223319546, 'k': val=0.5706639276298708}, 'E': {'n': val=13.545365024011934, 'k': val=1.056589052961841}, 'tau': val=5.0}, 'D': {'C': {'n': val=9.877237243480096, 'k': val=0.6950689706613298, '-': False}, 'tau': val=0.1}, 'E': {'A': {'n': val=2.325505245014397, 'k': val=0.6091847367054033}, 'B': {'n': val=2.431331411365558, 'k': val=0.23335092652536157}, 'C': {'n': val=21.952368577320602, 'k': val=0.2468474873343014}, 'E': {'n': val=3.6734861605963647, 'k': val=0.23502099146360275}, 'tau': val=0.7123902295395634}}, ind_size=35)",MSE,ODEINT,1,486.1123156178535,22.928507458703923,0.26285822714192075,0.24305615780892675,4580.017283916473,ECOLI,CMAES,False,ECOLI_CMAES_SERIAL_20250706_233442
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=7.896642113595317, 'k': val=1.99355442684429}, 'C': {'n': val=1.5413293893966025, 'k': val=0.12022757683058954}, 'D': {'n': val=22.625150614772544, 'k': val=0.538028633198961}, 'E': {'n': val=15.832908051411076, 'k': val=0.445434881326135}, 'tau': val=4.723691688777856}, 'B': {'A': {'n': val=15.993138368967584, 'k': val=1.7213106100295137}, 'C': {'n': val=25.99868420061867, 'k': val=1.6565427325476434}, 'D': {'n': val=15.170251469214639, 'k': val=0.29398243939630103}, 'E': {'n': val=28.769081582660032, 'k': val=1.027249243700114}, 'tau': val=3.4639171435661655}, 'C': {'D': {'n': val=10.554480557862117, 'k': val=1.6387637387514464}, 'E': {'n': val=28.273748067389377, 'k': val=0.942253247463515}, 'tau': val=3.6577853191053564}, 'D': {'C': {'n': val=3.720444229469179, 'k': val=0.5052904947295092, '-': False}, 'tau': val=0.1}, 'E': {'A': {'n': val=21.86583282040385, 'k': val=0.4117852547032296}, 'B': {'n': val=2.335236581975273, 'k': val=0.5958303713930538}, 'C': {'n': val=0.7171965822382703, 'k': val=0.7391016781438347}, 'E': {'n': val=2.543441082749354, 'k': val=0.1}, 'tau': val=0.9497523039617086}}, ind_size=35)",SQUARED,ODEINT,2,516.395784630947,23.639050457742858,0.2794023532718566,0.2581978923154735,4848.779276132584,ECOLI,CMAES,False,ECOLI_CMAES_SERIAL_20250706_233442
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=6.4822613303670185, 'k': val=1.519881532464111}, 'C': {'n': val=7.354326035347146, 'k': val=1.9112950904766701}, 'D': {'n': val=27.67610789829602, 'k': val=0.5993126893630067}, 'E': {'n': val=5.394862937613187, 'k': val=0.9095863406346567}, 'tau': val=4.341028103837262}, 'B': {'A': {'n': val=4.203753082508012, 'k': val=1.6736068111091393}, 'C': {'n': val=29.308579174968926, 'k': val=1.22927311400543}, 'D': {'n': val=14.780538961473129, 'k': val=0.4842476909790151}, 'E': {'n': val=9.453302397951461, 'k': val=0.26491448916986216}, 'tau': val=1.8976746293919329}, 'C': {'D': {'n': val=0.6206947469928409, 'k': val=1.136596853947858}, 'E': {'n': val=6.098155213075084, 'k': val=1.0320961251649623}, 'tau': val=2.103529591432761}, 'D': {'C': {'n': val=18.500910030951427, 'k': val=0.8753320905420691, '-': False}, 'tau': val=0.10028475346855469}, 'E': {'A': {'n': val=27.934866510280962, 'k': val=0.3015366562354277}, 'B': {'n': val=22.39776950983163, 'k': val=0.7880732025661533}, 'C': {'n': val=30.0, 'k': val=0.49556033533591315}, 'E': {'n': val=16.26674846065819, 'k': val=1.777570752653956}, 'tau': val=0.2561488265211674}}, ind_size=35)",MSE,ODEINT,2,491.0808234016908,22.95705575267224,0.2635132044156508,0.24554041170084537,5398.427431106567,ECOLI,CMAES,False,ECOLI_CMAES_SERIAL_20250706_233442
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=16.459875089832515, 'k': val=1.6048215967539534}, 'C': {'n': val=4.213245031720504, 'k': val=1.7216031855590492}, 'D': {'n': val=29.679441765585153, 'k': val=0.5465423497518251}, 'E': {'n': val=28.266930381668555, 'k': val=0.7635107505467774}, 'tau': val=2.4460424448799984}, 'B': {'A': {'n': val=5.568939473475935, 'k': val=0.9693201408925237}, 'C': {'n': val=26.530688292910924, 'k': val=1.317704586443707}, 'D': {'n': val=26.92409582396432, 'k': val=0.576753558989363}, 'E': {'n': val=24.739630256529654, 'k': val=0.1371526318511263}, 'tau': val=4.64040793624361}, 'C': {'D': {'n': val=22.164867584099376, 'k': val=0.10009003802714293}, 'E': {'n': val=29.433023613101636, 'k': val=1.0035875678211328}, 'tau': val=0.881957108581477}, 'D': {'C': {'n': val=9.168169296986342, 'k': val=1.2320301251709618, '-': False}, 'tau': val=0.10071312764816083}, 'E': {'A': {'n': val=17.812945460343624, 'k': val=0.9470759964793785}, 'B': {'n': val=6.042408809398562, 'k': val=0.11040243239113204}, 'C': {'n': val=7.373210992100303, 'k': val=0.5339761173852315}, 'E': {'n': val=3.11219421775755, 'k': val=0.20218613704506236}, 'tau': val=1.2043996978604956}}, ind_size=35)",SQUARED,ODEINT,3,608.1280890965212,24.31643181196621,0.2956444280330014,0.3040640445482605,5818.252428293228,ECOLI,CMAES,False,ECOLI_CMAES_SERIAL_20250706_233442
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=23.119377670869678, 'k': val=1.9808276124152355}, 'C': {'n': val=15.74359696907719, 'k': val=0.1629308422880138}, 'D': {'n': val=22.253407022074814, 'k': val=0.11318688732960495}, 'E': {'n': val=21.676011086141514, 'k': val=0.4704461279574812}, 'tau': val=3.7112886242037595}, 'B': {'A': {'n': val=21.79938078131415, 'k': val=0.4184292863176964}, 'C': {'n': val=17.00262044028272, 'k': val=1.6831070913850152}, 'D': {'n': val=21.09329066635756, 'k': val=0.10161998035333253}, 'E': {'n': val=21.250774124189835, 'k': val=0.3464995470630268}, 'tau': val=0.2600165493464269}, 'C': {'D': {'n': val=29.49500561070329, 'k': val=0.1}, 'E': {'n': val=21.191828983084363, 'k': val=1.0294630025535418}, 'tau': val=0.7662344594477654}, 'D': {'C': {'n': val=12.154958746860148, 'k': val=1.175329036671764, '-': False}, 'tau': val=0.10069452670359813}, 'E': {'A': {'n': val=0.4371758081877225, 'k': val=1.7283006521665094}, 'B': {'n': val=4.366195131160541, 'k': val=0.35353999091955823}, 'C': {'n': val=18.79458732509963, 'k': val=0.24188032961541414}, 'E': {'n': val=0.5813859455764845, 'k': val=1.5224387153967631}, 'tau': val=0.46625007594980733}}, ind_size=35)",MSE,ODEINT,3,617.6668399988508,24.54043888914127,0.3011165704358385,0.3088334199994253,4311.171019077301,ECOLI,CMAES,False,ECOLI_CMAES_SERIAL_20250706_233442
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=19.490283800454744, 'k': val=1.211606158904167}, 'C': {'n': val=1.4130218904846432, 'k': val=0.5120976575000712}, 'D': {'n': val=3.060058493031041, 'k': val=0.14733130333187344}, 'E': {'n': val=29.9111299292686, 'k': val=0.9263565445547409}, 'tau': val=5.0}, 'B': {'A': {'n': val=30.0, 'k': val=1.9310726666054805}, 'C': {'n': val=6.186694681900364, 'k': val=1.4226039066354768}, 'D': {'n': val=2.896983402609709, 'k': val=0.1}, 'E': {'n': val=23.85532336878431, 'k': val=0.5417790854509588}, 'tau': val=4.982016520871744}, 'C': {'D': {'n': val=5.150912307956408, 'k': val=0.750845480519993}, 'E': {'n': val=12.013807263071527, 'k': val=1.086431602144959}, 'tau': val=5.0}, 'D': {'C': {'n': val=1.9918619241523807, 'k': val=0.21465001308106, '-': False}, 'tau': val=0.15803137895647146}, 'E': {'A': {'n': val=8.316649668124976, 'k': val=0.1}, 'B': {'n': val=30.0, 'k': val=0.8467262366510616}, 'C': {'n': val=0.9147290910723915, 'k': val=1.9604980989208534}, 'E': {'n': val=0.1015199147095175, 'k': val=1.8850933465740507}, 'tau': val=0.5303494172007318}}, ind_size=35)",SQUARED,ODEINT,4,523.8337958831493,24.26441793893171,0.29438098895757553,0.2619168979415745,4091.758306980133,ECOLI,CMAES,False,ECOLI_CMAES_SERIAL_20250706_233442
"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=13.096165627857376, 'k': val=1.0223824644372828}, 'C': {'n': val=19.414509419857684, 'k': val=0.1}, 'D': {'n': val=15.040507612263362, 'k': val=0.3022337584863602}, 'E': {'n': val=17.295188602939596, 'k': val=1.2324207745408262}, 'tau': val=3.5176162005675384}, 'B': {'A': {'n': val=13.886373536674219, 'k': val=0.9510737113318727}, 'C': {'n': val=17.822600090799046, 'k': val=0.8715348841279998}, 'D': {'n': val=24.877190654801755, 'k': val=0.5143839788023333}, 'E': {'n': val=10.540083308292175, 'k': val=1.211964360812152}, 'tau': val=3.2167460006507387}, 'C': {'D': {'n': val=3.4273241987409446, 'k': val=0.7866871203254717}, 'E': {'n': val=2.8905137989143808, 'k': val=0.6490218732945219}, 'tau': val=1.4974358660689349}, 'D': {'C': {'n': val=4.395363971310648, 'k': val=0.8571086636159009, '-': False}, 'tau': val=0.14957515573202754}, 'E': {'A': {'n': val=3.7495721442862844, 'k': val=0.45928724356461115}, 'B': {'n': val=24.002490379291512, 'k': val=0.30202993548210966}, 'C': {'n': val=0.46954875786659533, 'k': val=0.8457014228650557}, 'E': {'n': val=4.318084462063116, 'k': val=0.1}, 'tau': val=1.0269538513576546}}, ind_size=35)",MSE,ODEINT,4,579.552570322776,24.530391646851985,0.30087005717397236,0.28977628516138804,4693.769306898117,ECOLI,CMAES,False,ECOLI_CMAES_SERIAL_20250706_233442
