best_ind,error_type,solver,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time,model,method,parallel,run_id
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=15.027703231855078, 'k': val=0.7496882580469588, '-': True}, 'tau': val=1.5185381713864765}, 'B': {'A': {'n': val=3.439922497625217, 'k': val=0.48193712784751563, '-': False}, 'tau': val=1.3555603605048552}, 'C': {'B': {'n': val=11.396013878752397, 'k': val=0.4968830046291431, '-': False}, 'tau': val=3.1923606470653834}, 'D': {'C': {'n': val=28.25262374161696, 'k': val=0.5099910595740096, '-': False}, 'tau': val=4.070409073783339}, 'E': {'D': {'n': val=1.8707742277425927, 'k': val=0.6544154841046543, '-': False}, 'B': {'n': val=29.52792593179329, 'k': val=0.12234246941894868, '-': False}, 'E': {'n': val=4.594775822571592, 'k': val=0.8170502556805115, '-': False}, 'tau': val=0.3326606641488206}}, ind_size=19)",ABS,RK45,0,24.38820123186181,2.0832736053574425,0.017360115659115983,0.09755280492744725,859.1640117168427,GRN5,CMAES,False,GRN5_CMAES_SERIAL_20250618_142134
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=7.122456785542789, 'k': val=0.6173511139005671, '-': True}, 'tau': val=1.3675221269711593}, 'B': {'A': {'n': val=2.2177640934761995, 'k': val=0.4527005099661136, '-': False}, 'tau': val=1.364988458077361}, 'C': {'B': {'n': val=2.405142348194955, 'k': val=0.39544644461856254, '-': False}, 'tau': val=1.7336099447656959}, 'D': {'C': {'n': val=14.161357006225165, 'k': val=0.6380953356227467, '-': False}, 'tau': val=3.077888490956902}, 'E': {'D': {'n': val=1.966453661444486, 'k': val=0.5541438067817573, '-': False}, 'B': {'n': val=12.601284398638292, 'k': val=0.38843438564474086, '-': False}, 'E': {'n': val=2.5012457598284854, 'k': val=0.5358611148261472, '-': False}, 'tau': val=2.6407002974142095}}, ind_size=19)",SQUARED,RK45,0,28.48246715102816,2.2145660908706457,0.019617211883336372,0.11392986860411267,583.0387868881226,GRN5,CMAES,False,GRN5_CMAES_SERIAL_20250618_142134
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=5.078849661937632, 'k': val=0.6252544878129592, '-': True}, 'tau': val=1.332724717247117}, 'B': {'A': {'n': val=4.232540071298965, 'k': val=0.5012309443550643, '-': False}, 'tau': val=1.6540723270479647}, 'C': {'B': {'n': val=28.72124273097339, 'k': val=0.45307501851481446, '-': False}, 'tau': val=4.126623628398392}, 'D': {'C': {'n': val=3.489041230765963, 'k': val=0.5084472125070716, '-': False}, 'tau': val=1.370512835656294}, 'E': {'D': {'n': val=3.2821060051975803, 'k': val=0.5055528142958582, '-': False}, 'B': {'n': val=26.857884433381084, 'k': val=0.531309684727124, '-': False}, 'E': {'n': val=2.6211709414534337, 'k': val=0.8042750777424768, '-': False}, 'tau': val=3.41787416169398}}, ind_size=19)",MSE,RK45,0,25.702918575489253,1.9675490457162552,0.015484996989195789,0.10281167430195702,728.3267812728882,GRN5,CMAES,False,GRN5_CMAES_SERIAL_20250618_142134
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=21.690813745663675, 'k': val=0.759624000527812, '-': True}, 'tau': val=1.5709373167257141}, 'B': {'A': {'n': val=9.82827365533144, 'k': val=0.5571229061902755, '-': False}, 'tau': val=2.131636227750752}, 'C': {'B': {'n': val=17.781985206776003, 'k': val=0.45146798527399784, '-': False}, 'tau': val=2.3175817308088016}, 'D': {'C': {'n': val=24.90324778953395, 'k': val=0.5253412279804063, '-': False}, 'tau': val=1.7972611467651927}, 'E': {'D': {'n': val=16.862206466719897, 'k': val=0.4762114070488625, '-': False}, 'B': {'n': val=3.45250245346499, 'k': val=1.8995519303820787, '-': False}, 'E': {'n': val=5.680564434914568, 'k': val=0.10152973682377864, '-': False}, 'tau': val=3.0758568986593087}}, ind_size=19)",MABS,RK45,0,29.806500256652715,2.4401584316564513,0.023817492686336292,0.11922600102661084,800.2913691997528,GRN5,CMAES,False,GRN5_CMAES_SERIAL_20250618_142134
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=11.171718912578143, 'k': val=0.7287799167429551, '-': True}, 'tau': val=1.4039113599352735}, 'B': {'A': {'n': val=1.5186913084191935, 'k': val=0.5051875917541827, '-': False}, 'tau': val=0.7492275956247609}, 'C': {'B': {'n': val=7.450843846773542, 'k': val=0.449662792033829, '-': False}, 'tau': val=3.331623087396829}, 'D': {'C': {'n': val=5.882105784700447, 'k': val=0.5762750202182728, '-': False}, 'tau': val=2.7995776213125056}, 'E': {'D': {'n': val=1.159062929978599, 'k': val=0.5322281389886097, '-': False}, 'B': {'n': val=4.79698467099607, 'k': val=0.195706844222467, '-': False}, 'E': {'n': val=4.396907049172061, 'k': val=0.8100980029293972, '-': False}, 'tau': val=0.9132929908665082}}, ind_size=19)",ABS,DOP853,0,29.712591101016002,2.816936869600597,0.031740533309260834,0.118850364404064,773.5163154602051,GRN5,CMAES,False,GRN5_CMAES_SERIAL_20250618_142134
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=4.218472028571979, 'k': val=0.47177640689454153, '-': True}, 'tau': val=1.121048414215983}, 'B': {'A': {'n': val=1.195187667878822, 'k': val=0.3975928624968449, '-': False}, 'tau': val=1.850280195687074}, 'C': {'B': {'n': val=4.206605350306845, 'k': val=0.4934678370258259, '-': False}, 'tau': val=1.0540446421468022}, 'D': {'C': {'n': val=2.1155480163848477, 'k': val=0.48096759116285487, '-': False}, 'tau': val=1.6710052052906441}, 'E': {'D': {'n': val=0.6180343738147631, 'k': val=1.091804590425792, '-': False}, 'B': {'n': val=6.529994413527941, 'k': val=0.5838605337287047, '-': False}, 'E': {'n': val=7.673896410544232, 'k': val=0.44731848131995516, '-': False}, 'tau': val=1.119989396000153}}, ind_size=19)",SQUARED,DOP853,0,47.283076393265326,3.6681404929516264,0.05382101870412562,0.18913230557306132,783.0583095550537,GRN5,CMAES,False,GRN5_CMAES_SERIAL_20250618_142134
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=16.124848093549105, 'k': val=0.6731206396350715, '-': True}, 'tau': val=1.5718524846920063}, 'B': {'A': {'n': val=4.120668425613448, 'k': val=0.503278552106465, '-': False}, 'tau': val=1.7561518056912468}, 'C': {'B': {'n': val=4.088559414455566, 'k': val=0.42885609679055975, '-': False}, 'tau': val=2.5056303421635935}, 'D': {'C': {'n': val=4.426294293995128, 'k': val=0.5406753396049591, '-': False}, 'tau': val=2.311033011411752}, 'E': {'D': {'n': val=6.383568545431115, 'k': val=0.25363832023480215, '-': False}, 'B': {'n': val=5.7667880434831895, 'k': val=0.4366647453508202, '-': False}, 'E': {'n': val=10.455691305960583, 'k': val=0.979005018788428, '-': False}, 'tau': val=3.8913595148882036}}, ind_size=19)",MSE,DOP853,0,23.212583228586897,1.769688816935089,0.01252719403514046,0.09285033291434762,1248.7898330688477,GRN5,CMAES,False,GRN5_CMAES_SERIAL_20250618_142134
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=20.90106501288304, 'k': val=0.6873159278321239, '-': True}, 'tau': val=1.4769214433929447}, 'B': {'A': {'n': val=5.292691752689064, 'k': val=0.5413771682335082, '-': False}, 'tau': val=1.9387961648880219}, 'C': {'B': {'n': val=4.5692148330791795, 'k': val=0.41631556985246904, '-': False}, 'tau': val=2.7235992761340944}, 'D': {'C': {'n': val=0.8833160875862305, 'k': val=1.7763447725178805, '-': False}, 'tau': val=4.3672330454985016}, 'E': {'D': {'n': val=6.5110933579603865, 'k': val=0.18034184117267396, '-': False}, 'B': {'n': val=19.916619139732465, 'k': val=0.617121357961375, '-': False}, 'E': {'n': val=23.272135739928174, 'k': val=0.8639969091110744, '-': False}, 'tau': val=4.904174500791441}}, ind_size=19)",MABS,DOP853,0,30.12774231068154,2.602436082812026,0.027090694260488022,0.12051096924272614,601.2835400104523,GRN5,CMAES,False,GRN5_CMAES_SERIAL_20250618_142134
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=23.6949398486175, 'k': val=0.7331198878300853, '-': True}, 'tau': val=1.5497352450913089}, 'B': {'A': {'n': val=5.617582475202423, 'k': val=0.5225319309667452, '-': False}, 'tau': val=1.7937598638937147}, 'C': {'B': {'n': val=27.54942704341375, 'k': val=0.44826752561816874, '-': False}, 'tau': val=3.3126586473069075}, 'D': {'C': {'n': val=6.390002529285557, 'k': val=0.5961326538487406, '-': False}, 'tau': val=2.2456616722753777}, 'E': {'D': {'n': val=26.96869116418068, 'k': val=0.13626906805346428, '-': False}, 'B': {'n': val=7.733666667543896, 'k': val=0.2153606234669905, '-': False}, 'E': {'n': val=28.785799624578043, 'k': val=1.3112240587248944, '-': False}, 'tau': val=3.4750805698527256}}, ind_size=19)",ABS,LSODA,0,23.998185692568466,1.9791039787001161,0.01566741023402652,0.09599274277027388,837.1343951225281,GRN5,CMAES,False,GRN5_CMAES_SERIAL_20250618_142134
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=11.012306485806379, 'k': val=0.641273728663815, '-': True}, 'tau': val=1.3930738524831712}, 'B': {'A': {'n': val=1.3458868758476663, 'k': val=0.3964058454470134, '-': False}, 'tau': val=1.2252400860206438}, 'C': {'B': {'n': val=1.689096548247407, 'k': val=0.34135239523973315, '-': False}, 'tau': val=1.9562047496018957}, 'D': {'C': {'n': val=2.4279743938704694, 'k': val=0.5007804886789432, '-': False}, 'tau': val=1.6273259243492804}, 'E': {'D': {'n': val=2.833273439120964, 'k': val=0.3481992586907728, '-': False}, 'B': {'n': val=13.628847313029821, 'k': val=0.6105403532682391, '-': False}, 'E': {'n': val=9.595463053429388, 'k': val=0.6929248584909689, '-': False}, 'tau': val=2.069920961742133}}, ind_size=19)",SQUARED,LSODA,0,42.20064678093993,3.239722290461343,0.04198320207724837,0.16880258712375973,387.94744300842285,GRN5,CMAES,False,GRN5_CMAES_SERIAL_20250618_142134
