best_ind,error_type,solver,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time,model,method,parallel,run_id
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=12.723987433390613, 'k': val=0.6679226478568199, '-': True}, 'tau': val=1.545419936279279}, 'B': {'A': {'n': val=6.397840274424656, 'k': val=0.5416995637610764, '-': False}, 'tau': val=1.9792600044940722}, 'C': {'B': {'n': val=2.1073838862231753, 'k': val=0.34652286884555406, '-': False}, 'tau': val=1.6215961938518637}, 'D': {'C': {'n': val=3.654143348002572, 'k': val=0.5348952659268721, '-': False}, 'tau': val=1.8738513259652936}, 'E': {'D': {'n': val=1.606473565283473, 'k': val=0.5319030355490815, '-': False}, 'B': {'n': val=14.391704450352808, 'k': val=0.4121555137954484, '-': False}, 'E': {'n': val=5.502083876059336, 'k': val=0.5810634051798999, '-': False}, 'tau': val=2.462733130652922}}, ind_size=19)",SQUARED,ODEINT,0,21.858110156953703,1.65474901948937,0.010952777270004124,0.08743244062781486,10445.56482553482,GRN5,SADE,False,GRN5_SADE_SERIAL_20250923_074424
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=28.875612706942935, 'k': val=0.30999235870005504, '-': True}, 'tau': val=4.273862055510492}, 'B': {'A': {'n': val=29.940020627976192, 'k': val=1.9769894217336996, '-': False}, 'tau': val=3.1910758612080388}, 'C': {'B': {'n': val=3.9278240264794184, 'k': val=1.2080663788820036, '-': False}, 'tau': val=3.056282662224649}, 'D': {'C': {'n': val=6.047448906539102, 'k': val=1.916634003163924, '-': False}, 'tau': val=0.11011671431466641}, 'E': {'D': {'n': val=19.18786416273076, 'k': val=0.6336330398012611, '-': False}, 'B': {'n': val=28.43987442463653, 'k': val=1.484261586904025, '-': False}, 'E': {'n': val=9.956569611684236, 'k': val=1.6043467002427045, '-': False}, 'tau': val=1.719158805753935}}, ind_size=19)",MSE,ODEINT,0,391.6272330016545,43.14723906689057,7.446736956381632,1.566508932006618,4431.582989454269,GRN5,SADE,False,GRN5_SADE_SERIAL_20250923_074424
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=13.603748112294154, 'k': val=0.6532053792120853, '-': True}, 'tau': val=1.5712587503468016}, 'B': {'A': {'n': val=8.849008880461637, 'k': val=0.5410929416977833, '-': False}, 'tau': val=2.1964395825165743}, 'C': {'B': {'n': val=2.01293466924615, 'k': val=0.3609562431104275, '-': False}, 'tau': val=1.6203270204467213}, 'D': {'C': {'n': val=4.384406749260417, 'k': val=0.5387425648191454, '-': False}, 'tau': val=2.448181912221051}, 'E': {'D': {'n': val=30.0, 'k': val=0.10000000055145258, '-': False}, 'B': {'n': val=6.081204478718529, 'k': val=0.6832960397760871, '-': False}, 'E': {'n': val=6.326028058611494, 'k': val=0.8786292803258283, '-': False}, 'tau': val=3.191578926500761}}, ind_size=19)",SQUARED,ODEINT,1,21.434207299066568,1.599820388126538,0.010237701097061385,0.08573682919626628,14005.784326314926,GRN5,SADE,False,GRN5_SADE_SERIAL_20250923_074424
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=20.404158213306346, 'k': val=1.8453433781572992, '-': True}, 'tau': val=2.158949032005548}, 'B': {'A': {'n': val=29.305098556028682, 'k': val=0.8155025980169714, '-': False}, 'tau': val=0.10196992196765142}, 'C': {'B': {'n': val=18.181011419124186, 'k': val=1.6748070351633166, '-': False}, 'tau': val=4.87153933795578}, 'D': {'C': {'n': val=18.879478329389777, 'k': val=0.6425949352218184, '-': False}, 'tau': val=2.9160863730697013}, 'E': {'D': {'n': val=22.525650734709533, 'k': val=1.7307962892151805, '-': False}, 'B': {'n': val=22.67695743518364, 'k': val=1.4263087720498757, '-': False}, 'E': {'n': val=25.947934958632533, 'k': val=0.7130938939898182, '-': False}, 'tau': val=2.975483369214807}}, ind_size=19)",MSE,ODEINT,1,173.39815180169066,14.541779926152842,0.8458534536826469,0.6935926072067626,5145.479348897934,GRN5,SADE,False,GRN5_SADE_SERIAL_20250923_074424
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=10.570661298888885, 'k': val=0.6605998371634816, '-': True}, 'tau': val=1.4737007264652995}, 'B': {'A': {'n': val=6.804406302903642, 'k': val=0.5371339036374554, '-': False}, 'tau': val=2.099512593755416}, 'C': {'B': {'n': val=2.5183649479550416, 'k': val=0.3645200051423281, '-': False}, 'tau': val=1.3868241552711844}, 'D': {'C': {'n': val=5.002348556205937, 'k': val=0.5508294028941702, '-': False}, 'tau': val=2.7974807872681544}, 'E': {'D': {'n': val=2.282261158337744, 'k': val=0.33021172115665953, '-': False}, 'B': {'n': val=13.84942660043377, 'k': val=0.5447833408890689, '-': False}, 'E': {'n': val=5.905963960902557, 'k': val=0.8791586267794692, '-': False}, 'tau': val=3.4157341855198675}}, ind_size=19)",SQUARED,ODEINT,2,22.04869570665599,1.6589558722396,0.01100853834415301,0.08819478282662395,10380.31354880333,GRN5,SADE,False,GRN5_SADE_SERIAL_20250923_074424
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=29.301134948128873, 'k': val=0.6168987537922861, '-': True}, 'tau': val=1.9017840531009118}, 'B': {'A': {'n': val=6.839917413381691, 'k': val=0.5316594447114767, '-': False}, 'tau': val=1.8346446047456264}, 'C': {'B': {'n': val=3.004291671827151, 'k': val=0.3835444966817121, '-': False}, 'tau': val=2.6326761129139546}, 'D': {'C': {'n': val=2.6189111270436642, 'k': val=0.47729448194064816, '-': False}, 'tau': val=1.450618302024042}, 'E': {'D': {'n': val=0.8700069748262584, 'k': val=0.6523032348594129, '-': False}, 'B': {'n': val=7.4802387847433325, 'k': val=0.3721153152443393, '-': False}, 'E': {'n': val=8.240832579408695, 'k': val=0.563334144430955, '-': False}, 'tau': val=2.115968170622834}}, ind_size=19)",MSE,ODEINT,2,22.705136525214893,1.8005510910981923,0.012967936926619569,0.09082054610085959,4409.149888515472,GRN5,SADE,False,GRN5_SADE_SERIAL_20250923_074424
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=11.748807654782155, 'k': val=0.6502845081816421, '-': True}, 'tau': val=1.546475843735268}, 'B': {'A': {'n': val=6.361380043618181, 'k': val=0.5284662032904301, '-': False}, 'tau': val=2.068138744288209}, 'C': {'B': {'n': val=2.9700216029842985, 'k': val=0.3575795860258589, '-': False}, 'tau': val=1.5028622220535692}, 'D': {'C': {'n': val=6.234537939131209, 'k': val=0.5842584641626447, '-': False}, 'tau': val=2.7070054750017953}, 'E': {'D': {'n': val=1.7497040314059316, 'k': val=0.3958441649480315, '-': False}, 'B': {'n': val=7.228186114891858, 'k': val=0.41763836695750955, '-': False}, 'E': {'n': val=3.575650490361235, 'k': val=0.7213879137795751, '-': False}, 'tau': val=2.6830637159323154}}, ind_size=19)",SQUARED,ODEINT,3,21.749355383503225,1.6344882308451363,0.010686207107085064,0.08699742153401291,13200.925244092941,GRN5,SADE,False,GRN5_SADE_SERIAL_20250923_074424
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=12.185694442155375, 'k': val=0.6608344363166226, '-': True}, 'tau': val=1.512016581308812}, 'B': {'A': {'n': val=6.138458539427091, 'k': val=0.5218434630420906, '-': False}, 'tau': val=2.074714143842431}, 'C': {'B': {'n': val=3.1823223518186956, 'k': val=0.3953232623956594, '-': False}, 'tau': val=2.2108578129122285}, 'D': {'C': {'n': val=4.327269892321647, 'k': val=0.5408757316035335, '-': False}, 'tau': val=2.0162987946891655}, 'E': {'D': {'n': val=23.42813984684736, 'k': val=0.3113013081806245, '-': False}, 'B': {'n': val=8.15594840653941, 'k': val=0.6456137082120904, '-': False}, 'E': {'n': val=5.902958235830378, 'k': val=0.9169647175532786, '-': False}, 'tau': val=3.865375547395512}}, ind_size=19)",MSE,ODEINT,3,22.2359004791423,1.7039647552838997,0.01161398354899888,0.08894360191656923,11476.592675447464,GRN5,SADE,False,GRN5_SADE_SERIAL_20250923_074424
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=12.002040568000064, 'k': val=0.657880722563668, '-': True}, 'tau': val=1.5065965523982339}, 'B': {'A': {'n': val=8.554454897404689, 'k': val=0.5503891584458245, '-': False}, 'tau': val=2.1946443561684075}, 'C': {'B': {'n': val=2.3042182608482267, 'k': val=0.38407891291759866, '-': False}, 'tau': val=1.4514807551006477}, 'D': {'C': {'n': val=4.407077044353785, 'k': val=0.5104165080003569, '-': False}, 'tau': val=2.419272454015691}, 'E': {'D': {'n': val=1.3860741757725876, 'k': val=0.3035895629635949, '-': False}, 'B': {'n': val=11.359049078828864, 'k': val=0.4971042475482099, '-': False}, 'E': {'n': val=6.080513257090025, 'k': val=0.7787347365826662, '-': False}, 'tau': val=2.680728189184807}}, ind_size=19)",SQUARED,ODEINT,4,21.8361021989039,1.64326777193646,0.010801315881140066,0.08734440879561561,8710.274826526642,GRN5,SADE,False,GRN5_SADE_SERIAL_20250923_074424
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=20.773910493687087, 'k': val=0.6499276971088649, '-': True}, 'tau': val=1.7633791987696714}, 'B': {'A': {'n': val=5.751529946976898, 'k': val=0.5011912769103276, '-': False}, 'tau': val=1.9966478148272233}, 'C': {'B': {'n': val=3.555426336437236, 'k': val=0.4394460222298415, '-': False}, 'tau': val=1.646102361365828}, 'D': {'C': {'n': val=2.6377647393951604, 'k': val=0.38978469070206573, '-': False}, 'tau': val=2.4796204568467966}, 'E': {'D': {'n': val=12.258294417640753, 'k': val=0.48475781800828, '-': False}, 'B': {'n': val=7.268698327247607, 'k': val=0.527258422402954, '-': False}, 'E': {'n': val=2.74747821319121, 'k': val=1.362358420282896, '-': False}, 'tau': val=4.247784121132914}}, ind_size=19)",MSE,ODEINT,4,24.42776478157316,1.8982067479627331,0.014412755432045022,0.09771105912629266,4895.376412153244,GRN5,SADE,False,GRN5_SADE_SERIAL_20250923_074424
